Image,Object,Comments,Coder,Exclude,None,Unsure,Category,sub_num
000405.01.gif ,NA,NA,KC,0,1,0,NA,7780
000605.03_DUPLICATE1.gif,teething toy,NA,KC,0,0,0,Toy,9228
