sub_num,Image,Object,exclusion,exact.image
7101,20160811_130657_000.gif,NA,Unsure,7101/20160811_130657_000.gif
3041,070355.gif,NA,Unsure,3041/070355.gif
3041,070410.gif,NA,Unsure,3041/070410.gif
3041,070425.gif,NA,Unsure,3041/070425.gif
3041,070543.gif,NA,Unsure,3041/070543.gif
3041,071209.gif,NA,Unsure,3041/071209.gif
3041,071327.gif,NA,Unsure,3041/071327.gif
3041,071343.gif,NA,Unsure,3041/071343.gif
3041,071430.gif,NA,Unsure,3041/071430.gif
3041,071516.gif,NA,Unsure,3041/071516.gif
3041,072133.gif,NA,Unsure,3041/072133.gif
3041,120153.gif,NA,Unsure,3041/120153.gif
3041,120413.gif,NA,Unsure,3041/120413.gif
3041,131639.gif,NA,Unsure,3041/131639.gif
3041,133022.gif,NA,Unsure,3041/133022.gif
3041,140157.gif,NA,Unsure,3041/140157.gif
3041,140259.gif,NA,Unsure,3041/140259.gif
3041,140752.gif,NA,Unsure,3041/140752.gif
5348,074231.gif,NA,Unsure,5348/074231.gif
5348,074246.gif,NA,Unsure,5348/074246.gif
5348,082131.gif,NA,Unsure,5348/082131.gif
5348,090106.gif,NA,Unsure,5348/090106.gif
5348,090500.gif,NA,Unsure,5348/090500.gif
5348,090515.gif,NA,Unsure,5348/090515.gif
5348,102911.gif,NA,Unsure,5348/102911.gif
5348,145153.gif,NA,Unsure,5348/145153.gif
5348,145210.gif,NA,Unsure,5348/145210.gif
9706,071255.gif,NA,Unsure,9706/071255.gif
9706,072131.gif,NA,Unsure,9706/072131.gif
9706,075643.gif,NA,Unsure,9706/075643.gif
9706,075701.gif,NA,Unsure,9706/075701.gif
9706,082156.gif,NA,Unsure,9706/082156.gif
9706,082211.gif,NA,Unsure,9706/082211.gif
9706,082227.gif,NA,Unsure,9706/082227.gif
9706,082242.gif,NA,Unsure,9706/082242.gif
9706,082257.gif,NA,Unsure,9706/082257.gif
9706,082552.gif,NA,Unsure,9706/082552.gif
9706,083834.gif,NA,Unsure,9706/083834.gif
9706,084831.gif,NA,Unsure,9706/084831.gif
9706,092740.gif,NA,Unsure,9706/092740.gif
9706,092755.gif,NA,Unsure,9706/092755.gif
9706,092827.gif,NA,Unsure,9706/092827.gif
9706,092946.gif,NA,Unsure,9706/092946.gif
9706,100133.gif,NA,Unsure,9706/100133.gif
