sub_num,Image,Object,exclusion,exact.image
9706,100749.gif,NA,Unsure,9706/100749.gif
9706,101831.gif,NA,Unsure,9706/101831.gif
9706,101919.gif,NA,Unsure,9706/101919.gif
9706,101934.gif,NA,Unsure,9706/101934.gif
9706,101952.gif,NA,Unsure,9706/101952.gif
9706,102007.gif,NA,Unsure,9706/102007.gif
9706,102022.gif,NA,Unsure,9706/102022.gif
9706,102215.gif,NA,Unsure,9706/102215.gif
9706,102437.gif,NA,Unsure,9706/102437.gif
9706,102759.gif,NA,Unsure,9706/102759.gif
9706,102916.gif,NA,Unsure,9706/102916.gif
9706,103151.gif,NA,Unsure,9706/103151.gif
9706,103222.gif,NA,Unsure,9706/103222.gif
9706,103802.gif,NA,Unsure,9706/103802.gif
9706,103817.gif,NA,Unsure,9706/103817.gif
9706,103923.gif,NA,Unsure,9706/103923.gif
9706,132158.gif,NA,Unsure,9706/132158.gif
9706,132908.gif,NA,Unsure,9706/132908.gif
9706,133921.gif,NA,Unsure,9706/133921.gif
9706,135153.gif,NA,Unsure,9706/135153.gif
9706,140621.gif,NA,Unsure,9706/140621.gif
9706,141019.gif,NA,Unsure,9706/141019.gif
9706,141034.gif,NA,Unsure,9706/141034.gif
9706,141052.gif,NA,Unsure,9706/141052.gif
9706,141107.gif,NA,Unsure,9706/141107.gif
9706,141122.gif,NA,Unsure,9706/141122.gif
9706,141138.gif,NA,Unsure,9706/141138.gif
9706,141153.gif,NA,Unsure,9706/141153.gif
9706,141358.gif,NA,Unsure,9706/141358.gif
9706,141413.gif,NA,Unsure,9706/141413.gif
9706,141428.gif,NA,Unsure,9706/141428.gif
9706,141557.gif,NA,Unsure,9706/141557.gif
9706,141957.gif,NA,Unsure,9706/141957.gif
9706,142012.gif,NA,Unsure,9706/142012.gif
9706,142058.gif,NA,Unsure,9706/142058.gif
9706,142113.gif,NA,Unsure,9706/142113.gif
9706,142130.gif,NA,Unsure,9706/142130.gif
9706,142251.gif,NA,Unsure,9706/142251.gif
9706,142625.gif,NA,Unsure,9706/142625.gif
9706,143910.gif,NA,Unsure,9706/143910.gif
9706,145505.gif,NA,Unsure,9706/145505.gif
9706,145520.gif,NA,Unsure,9706/145520.gif
9706,145535.gif,NA,Unsure,9706/145535.gif
9706,145553.gif,NA,Unsure,9706/145553.gif
9706,145608.gif,NA,Unsure,9706/145608.gif
9706,145623.gif,NA,Unsure,9706/145623.gif
4859,071943.gif,NA,Unsure,4859/071943.gif
4859,080051.gif,NA,Unsure,4859/080051.gif
4859,080444.gif,NA,Unsure,4859/080444.gif
4859,080501.gif,NA,Unsure,4859/080501.gif
4859,080516.gif,NA,Unsure,4859/080516.gif
4859,103813.gif,NA,Unsure,4859/103813.gif
4859,103828.gif,NA,Unsure,4859/103828.gif
4859,103930.gif,NA,Unsure,4859/103930.gif
4859,103945.gif,NA,Unsure,4859/103945.gif
4859,104000.gif,NA,Unsure,4859/104000.gif
4859,104017.gif,NA,Unsure,4859/104017.gif
4859,104032.gif,NA,Unsure,4859/104032.gif
4859,104047.gif,NA,Unsure,4859/104047.gif
4859,104104.gif,NA,Unsure,4859/104104.gif
4859,122348.gif,NA,Unsure,4859/122348.gif
4859,122434.gif,NA,Unsure,4859/122434.gif
4859,122449.gif,NA,Unsure,4859/122449.gif
4859,122504.gif,NA,Unsure,4859/122504.gif
4859,122520.gif,NA,Unsure,4859/122520.gif
4859,122608.gif,NA,Unsure,4859/122608.gif
4859,122623.gif,NA,Unsure,4859/122623.gif
4859,122638.gif,NA,Unsure,4859/122638.gif
4859,141615.gif,NA,Unsure,4859/141615.gif
4859,141648.gif,NA,Unsure,4859/141648.gif
4859,142606.gif,NA,Unsure,4859/142606.gif
4859,142841.gif,NA,Unsure,4859/142841.gif
4859,143658.gif,NA,Unsure,4859/143658.gif
4859,144045.gif,NA,Unsure,4859/144045.gif
1144,20160822_115431_000.gif,NA,Unsure,1144/20160822_115431_000.gif
1144,20160822_115707_000.gif,NA,Unsure,1144/20160822_115707_000.gif
7849,072236.gif,NA,Unsure,7849/072236.gif
7849,072335.gif,NA,Unsure,7849/072335.gif
7849,072351.gif,NA,Unsure,7849/072351.gif
7849,072406.gif,NA,Unsure,7849/072406.gif
7849,072438.gif,NA,Unsure,7849/072438.gif
7849,072453.gif,NA,Unsure,7849/072453.gif
7849,082725.gif,NA,Unsure,7849/082725.gif
7849,083602.gif,NA,Unsure,7849/083602.gif
2819,150911.gif,NA,Unsure,2819/150911.gif
2819,150928.gif,NA,Unsure,2819/150928.gif
6852,142554.gif,NA,Unsure,6852/142554.gif
6852,152815.gif,NA,Unsure,6852/152815.gif
6852,152845.gif,NA,Unsure,6852/152845.gif
6852,154531.gif,NA,Unsure,6852/154531.gif
6852,161510.gif,NA,Unsure,6852/161510.gif
6852,164829.gif,NA,Unsure,6852/164829.gif
6852,164859.gif,NA,Unsure,6852/164859.gif
6852,171343.gif,NA,Unsure,6852/171343.gif
6852,213757.gif,NA,Unsure,6852/213757.gif
6852,214324.gif,NA,Unsure,6852/214324.gif
6852,214557.gif,NA,Unsure,6852/214557.gif
6852,233209.gif,NA,Unsure,6852/233209.gif
6852,233949.gif,NA,Unsure,6852/233949.gif
6852,234020.gif,NA,Unsure,6852/234020.gif
6852,24001703.gif,NA,Unsure,6852/24001703.gif
1566,214343.gif,NA,Unsure,1566/214343.gif
1076,175036.gif,NA,Unsure,1076/175036.gif
1076,180323.gif,NA,Unsure,1076/180323.gif
1076,180627.gif,NA,Unsure,1076/180627.gif
1076,182012.gif,NA,Unsure,1076/182012.gif
1076,182651.gif,NA,Unsure,1076/182651.gif
1076,182855.gif,NA,Unsure,1076/182855.gif
1076,192352.gif,NA,Unsure,1076/192352.gif
1076,192425.gif,NA,Unsure,1076/192425.gif
1076,192900.gif,NA,Unsure,1076/192900.gif
1076,193204.gif,NA,Unsure,1076/193204.gif
1076,202258.gif,NA,Unsure,1076/202258.gif
1076,210313.gif,NA,Unsure,1076/210313.gif
1076,213759.gif,NA,Unsure,1076/213759.gif
1076,213830.gif,NA,Unsure,1076/213830.gif
1076,213900.gif,NA,Unsure,1076/213900.gif
1076,213930.gif,NA,Unsure,1076/213930.gif
1076,214033.gif,NA,Unsure,1076/214033.gif
1076,233630.gif,NA,Unsure,1076/233630.gif
1076,233750.gif,NA,Unsure,1076/233750.gif
1494,185620.gif,NA,Unsure,1494/185620.gif
1494,185650.gif,NA,Unsure,1494/185650.gif
1494,185721.gif,NA,Unsure,1494/185721.gif
1494,185751.gif,NA,Unsure,1494/185751.gif
1494,185821.gif,NA,Unsure,1494/185821.gif
1312,150810.gif,NA,Unsure,1312/150810.gif
1312,152848.gif,NA,Unsure,1312/152848.gif
1312,153218.gif,NA,Unsure,1312/153218.gif
1312,153248.gif,NA,Unsure,1312/153248.gif
1312,160407.gif,NA,Unsure,1312/160407.gif
1312,160437.gif,NA,Unsure,1312/160437.gif
1312,160507.gif,NA,Unsure,1312/160507.gif
1312,160809.gif,NA,Unsure,1312/160809.gif
1312,161011.gif,NA,Unsure,1312/161011.gif
1312,163650.gif,NA,Unsure,1312/163650.gif
1312,163822.gif,NA,Unsure,1312/163822.gif
1312,164226.gif,NA,Unsure,1312/164226.gif
1312,164256.gif,NA,Unsure,1312/164256.gif
1312,165723.gif,NA,Unsure,1312/165723.gif
1312,165756.gif,NA,Unsure,1312/165756.gif
1312,171747.gif,NA,Unsure,1312/171747.gif
1312,182823.gif,NA,Unsure,1312/182823.gif
1312,183028.gif,NA,Unsure,1312/183028.gif
1312,183058.gif,NA,Unsure,1312/183058.gif
1312,184803.gif,NA,Unsure,1312/184803.gif
1312,184834.gif,NA,Unsure,1312/184834.gif
1312,184905.gif,NA,Unsure,1312/184905.gif
1312,190020.gif,NA,Unsure,1312/190020.gif
1312,190819.gif,NA,Unsure,1312/190819.gif
1312,190849.gif,NA,Unsure,1312/190849.gif
1312,192155.gif,NA,Unsure,1312/192155.gif
1312,192255.gif,NA,Unsure,1312/192255.gif
1312,193005.gif,NA,Unsure,1312/193005.gif
1312,193035.gif,NA,Unsure,1312/193035.gif
1312,200819.gif,NA,Unsure,1312/200819.gif
1312,210915.gif,NA,Unsure,1312/210915.gif
1312,232435.gif,NA,Unsure,1312/232435.gif
1312,232505.gif,NA,Unsure,1312/232505.gif
1312,232637.gif,NA,Unsure,1312/232637.gif
1312,232808.gif,NA,Unsure,1312/232808.gif
1312,233142.gif,NA,Unsure,1312/233142.gif
8532,150316.gif,NA,Unsure,8532/150316.gif
8532,151636.gif,NA,Unsure,8532/151636.gif
8532,153643.gif,NA,Unsure,8532/153643.gif
8532,154115.gif,NA,Unsure,8532/154115.gif
8532,154418.gif,NA,Unsure,8532/154418.gif
8532,154622.gif,NA,Unsure,8532/154622.gif
8532,154822.gif,NA,Unsure,8532/154822.gif
8532,155124.gif,NA,Unsure,8532/155124.gif
8532,155326.gif,NA,Unsure,8532/155326.gif
8532,155630.gif,NA,Unsure,8532/155630.gif
8532,155658.gif,NA,Unsure,8532/155658.gif
8532,160136.gif,NA,Unsure,8532/160136.gif
8532,160512.gif,NA,Unsure,8532/160512.gif
8532,160542.gif,NA,Unsure,8532/160542.gif
8532,181110.gif,NA,Unsure,8532/181110.gif
8532,232713.gif,NA,Unsure,8532/232713.gif
8532,232845.gif,NA,Unsure,8532/232845.gif
8532,232917.gif,NA,Unsure,8532/232917.gif
8532,232947.gif,NA,Unsure,8532/232947.gif
8532,233017.gif,NA,Unsure,8532/233017.gif
8532,233049.gif,NA,Unsure,8532/233049.gif
8532,233119.gif,NA,Unsure,8532/233119.gif
8532,233252.gif,NA,Unsure,8532/233252.gif
8532,233354.gif,NA,Unsure,8532/233354.gif
7328,145219.gif,NA,Unsure,7328/145219.gif
7328,152535.gif,NA,Unsure,7328/152535.gif
7328,161020.gif,NA,Unsure,7328/161020.gif
7328,173459.gif,NA,Unsure,7328/173459.gif
7328,215152.gif,NA,Unsure,7328/215152.gif
7328,215225.gif,NA,Unsure,7328/215225.gif
7328,215255.gif,NA,Unsure,7328/215255.gif
7328,215325.gif,NA,Unsure,7328/215325.gif
7328,215358.gif,NA,Unsure,7328/215358.gif
7328,215424.gif,NA,Unsure,7328/215424.gif
7328,215454.gif,NA,Unsure,7328/215454.gif
7328,215524.gif,NA,Unsure,7328/215524.gif
7328,215556.gif,NA,Unsure,7328/215556.gif
7328,215626.gif,NA,Unsure,7328/215626.gif
7328,224925.gif,NA,Unsure,7328/224925.gif
7328,225028.gif,NA,Unsure,7328/225028.gif
7328,225058.gif,NA,Unsure,7328/225058.gif
7328,225331.gif,NA,Unsure,7328/225331.gif
7328,232140.gif,NA,Unsure,7328/232140.gif
7328,232421.gif,NA,Unsure,7328/232421.gif
7328,232734.gif,NA,Unsure,7328/232734.gif
7328,232937.gif,NA,Unsure,7328/232937.gif
7328,233139.gif,NA,Unsure,7328/233139.gif
7328,233209.gif,NA,Unsure,7328/233209.gif
7328,233242.gif,NA,Unsure,7328/233242.gif
