Image,Object,Comments,Coder,Exclude,None,Unsure,Category,sub_num
073340.gif,bowl,unclear if sago is still being handled,KC,0,0,0,NA,5348
073357.gif,bowl,unclear if sago is still being handled,KC,0,0,0,NA,5348
073412.gif,bowl,unclear if sago is still being handled,KC,0,0,0,NA,5348
073427.gif,bowl,unclear if sago is still being handled,KC,0,0,0,NA,5348
073443.gif,bowl,unclear if sago is still being handled,KC,0,0,0,NA,5348
073530.gif,"bowl, sago",NA,KC,0,0,0,NA,5348
073616.gif,NA,NA,KC,1,0,0,NA,5348
073703.gif,"bowl, sago",NA,KC,0,0,0,NA,5348
073750.gif,NA,NA,MC,0,0,1,Natural,5348
073820.gif,NA,NA,KC,0,1,0,NA,5348
073836.gif,NA,NA,KC,0,1,0,NA,5348
073851.gif,leaf,NA,MC,0,0,0,NA,5348
073906.gif,leaf,NA,MC,0,0,0,NA,5348
073923.gif,leaf,NA,MC,0,0,0,NA,5348
073938.gif,leaf,NA,MC,0,0,0,NA,5348
074057.gif,leaf,NA,MC,0,0,0,NA,5348
074127.gif,leaf,NA,MC,0,0,0,NA,5348
080433.gif,sago,NA,KC,0,0,0,NA,5348
080451.gif,NA,NA,MC,0,0,1,NA,5348
080506.gif,sago,NA,KC,0,0,0,NA,5348
080538.gif,"sago, toy turtle",NA,KC,0,0,0,NA,5348
080727.gif,plate,NA,KC,0,0,0,NA,5348
080742.gif,ball,NA,KC,0,0,0,NA,5348
080800.gif,ball,NA,KC,0,0,0,NA,5348
080815.gif,ball,NA,KC,0,0,0,NA,5348
080826.gif,ball,NA,KC,0,0,0,NA,5348
080841.gif,"ball, rope",NA,MC,0,0,0,NA,5348
080857.gif,"ball, rope",NA,MC,0,0,0,NA,5348
081031.gif,lunchbox,NA,KC,0,0,0,NA,5348
082101.gif,vest,from context,KC,0,0,0,NA,5348
082116.gif,vest,from context,KC,0,0,0,NA,5348
082353.gif,betelnut,NA,KC,0,0,0,NA,5348
082409.gif,leafy green,NA,KC,0,0,0,NA,5348
082424.gif,leafy green,NA,KC,0,0,0,NA,5348
082439.gif,leafy green,NA,KC,0,0,0,NA,5348
082457.gif,leafy green,NA,KC,0,0,0,NA,5348
082512.gif,leafy green,NA,KC,0,0,0,NA,5348
083238.gif,NA,NA,MC,0,0,0,Synthetic,5348
083326.gif,knife,NA,KC,0,0,0,NA,5348
083343.gif,NA,NA,KC,1,0,0,Synthetic,5348
083619.gif,NA,NA,KC,0,1,0,NA,5348
083634.gif,camera,NA,KC,0,0,0,NA,5348
083954.gif,leaf,NA,MC,0,0,0,NA,5348
084009.gif,leaf,NA,MC,0,0,0,NA,5348
084111.gif,commercial fishing misc,NA,MC,0,0,0,NA,5348
084143.gif,lotion,NA,KC,0,0,0,NA,5348
084158.gif,lotion,NA,KC,0,0,0,NA,5348
084245.gif,lotion,NA,KC,0,0,0,NA,5348
084302.gif,lotion,NA,KC,0,0,0,NA,5348
084317.gif,lotion,NA,KC,0,0,0,NA,5348
084332.gif,lotion,NA,KC,0,0,0,NA,5348
084350.gif,lotion,NA,KC,0,0,0,NA,5348
084405.gif,lotion,NA,KC,0,0,0,NA,5348
084420.gif,lotion,NA,KC,0,0,0,NA,5348
084436.gif,lotion,NA,KC,0,0,0,NA,5348
084451.gif,lotion,NA,KC,0,0,0,NA,5348
084506.gif,lotion,NA,KC,0,0,0,NA,5348
085429.gif,tongs,NA,MC,0,0,0,NA,5348
085444.gif,tongs,NA,MC,0,0,0,NA,5348
103046.gif,deck,NA,MC,0,0,0,NA,5348
103101.gif,deck,NA,MC,0,0,0,NA,5348
103133.gif,deck,NA,MC,0,0,0,NA,5348
103751.gif,NA,NA,MC,1,0,0,Synthetic,5348
104250.gif,ball,NA,KC,0,0,0,NA,5348
104305.gif,ball,NA,KC,0,0,0,NA,5348
104540.gif,NA,NA,MC,0,0,1,NA,5348
104627.gif,camera,NA,KC,0,0,0,NA,5348
104642.gif,camera,NA,KC,0,0,0,NA,5348
105532.gif,NA,NA,KC,1,0,0,Natural,5348
105949.gif,lunchbox,appears earlier in this directory,KC,0,0,0,NA,5348
110019.gif,flashlight,NA,MC,0,0,0,NA,5348
110050.gif,stairs,NA,MC,0,0,0,NA,5348
110204.gif,wood slat,NA,KC,0,0,0,NA,5348
110220.gif,wood slat,NA,KC,0,0,0,NA,5348
110716.gif,NA,NA,KC,1,0,0,NA,5348
113343.gif,burlap,NA,MC,0,0,0,NA,5348
113359.gif,burlap,NA,MC,0,0,0,NA,5348
115246.gif,papaya,NA,KC,0,0,0,NA,5348
115452.gif,papaya,NA,KC,0,0,0,NA,5348
115642.gif,papaya,NA,KC,0,0,0,NA,5348
115655.gif,papaya,NA,KC,0,0,0,NA,5348
115710.gif,papaya,NA,KC,0,0,0,NA,5348
115726.gif,papaya,NA,KC,0,0,0,NA,5348
120003.gif,deck,NA,MC,0,0,0,NA,5348
134906.gif,NA,NA,KC,1,0,0,NA,5348
135125.gif,NA,NA,KC,1,0,0,NA,5348
145605.gif,skirt,NA,MC,0,0,0,NA,5348
145740.gif,wood slat,NA,MC,0,0,0,NA,5348
150117.gif,pole,NA,MC,0,0,0,NA,5348
150452.gif,commercial fishing misc,NA,MC,0,0,0,NA,5348
072045.gif,hammock,NA,KC,0,0,0,NA,9706
081002.gif,sago,NA,MC,0,0,0,NA,9706
081736.gif,NA,NA,KC,1,0,0,NA,9706
081936.gif,NA,NA,MC,1,0,0,NA,9706
082038.gif,NA,NA,MC,1,0,0,NA,9706
082109.gif,NA,NA,MC,1,0,0,NA,9706
084056.gif,sago,NA,MC,0,0,0,NA,9706
084128.gif,sago,NA,MC,0,0,0,NA,9706
084143.gif,sago,NA,MC,0,0,0,NA,9706
084214.gif,sago,NA,MC,0,0,0,NA,9706
084301.gif,sago,NA,MC,0,0,0,NA,9706
084436.gif,sago,NA,MC,0,0,0,NA,9706
084625.gif,sago,NA,MC,0,0,0,NA,9706
092620.gif,NA,NA,MC,1,0,0,NA,9706
094518.gif,tongs,NA,NA,NA,NA,NA,NA,9706
094917.gif,NA,NA,MC,1,0,0,Natural,9706
102519.gif,cardboard,NA,NA,NA,NA,NA,NA,9706
103036.gif,broom,NA,MC,0,0,0,NA,9706
103319.gif,plastic sheet,NA,MC,0,0,0,NA,9706
103351.gif,plastic sheet,NA,MC,0,0,0,NA,9706
104705.gif,deck,NA,MC,0,0,0,NA,9706
104720.gif,NA,NA,MC,1,0,0,NA,9706
105554.gif,NA,NA,MC,1,0,0,NA,9706
135527.gif,camera,NA,KC,0,0,0,NA,9706
135542.gif,camera,NA,KC,0,0,0,NA,9706
140024.gif,NA,NA,KC,0,1,0,NA,9706
140845.gif,sieve,NA,KC,0,0,0,NA,9706
140900.gif,sieve,NA,KC,0,0,0,NA,9706
140917.gif,sieve,NA,KC,0,0,0,NA,9706
143513.gif,NA,NA,KC,1,0,0,NA,9706
071122.gif,NA,NA,KC,1,0,0,NA,4859
071446.gif,NA,NA,KC,1,0,0,NA,4859
071825.gif,NA,NA,KC,1,0,0,NA,4859
072016.gif,NA,NA,KC,1,0,0,NA,4859
072613.gif,NA,NA,KC,1,0,0,NA,4859
074733.gif,NA,NA,KC,1,0,0,NA,4859
074747.gif,NA,NA,KC,1,0,0,NA,4859
074951.gif,fruit (unknown variety),different from other unknowns seen in different directories,MC,0,0,0,NA,4859
080154.gif,fruit (unknown variety),NA,MC,0,0,0,NA,4859
080328.gif,NA,NA,KC,0,1,0,NA,4859
082548.gif,NA,NA,KC,1,0,0,NA,4859
082605.gif,NA,NA,KC,1,0,0,NA,4859
101745.gif,vest,NA,NA,NA,NA,NA,NA,4859
111744.gif,vest,NA,NA,NA,NA,NA,NA,4859
140633.gif,stairs,NA,MC,0,0,0,NA,4859
141513.gif,necklace,from context,KC,0,0,0,NA,4859
142037.gif,NA,NA,MC,1,0,0,NA,4859
142054.gif,NA,NA,MC,1,0,0,NA,4859
144100.gif,NA,NA,MC,1,0,0,NA,4859
20160822_064939_000.gif,tongs,NA,MC,0,0,0,NA,7333
20160822_071235_000.gif,container lid,NA,KC,0,0,0,NA,7333
20160822_071305_000.gif,NA,NA,MC,0,0,1,Natural,7333
20160822_071440_000.gif,NA,NA,MC,0,0,1,Natural,7333
20160822_081421_000.gif,NA,NA,MC,1,0,0,Natural,7333
20160822_090752_000.gif,seafood,NA,MC,0,0,0,NA,7333
20160822_090958_000.gif,seafood,NA,MC,0,0,0,NA,7333
20160822_091013_000.gif,seafood,NA,MC,0,0,0,NA,7333
20160822_092042_000.gif,bottle cap,NA,MC,0,0,0,NA,7333
20160822_122709_000.gif,"sippy cup, palm leaf",NA,KC,0,0,0,NA,7333
20160822_124922_000.gif,"rice ball, leaf",NA,KC,0,0,0,NA,7333
20160822_124937_000.gif,rice ball,NA,KC,0,0,0,NA,7333
20160822_125022_000.gif,container lid,NA,KC,0,0,0,NA,7333
20160822_125419_000.gif,container lid,NA,KC,0,0,0,NA,7333
20160822_125437_000.gif,container lid,NA,KC,0,0,0,NA,7333
20160822_125802_000.gif,leaf,NA,MC,0,0,0,NA,7333
20160822_125850_000.gif,leaf,NA,MC,0,0,0,NA,7333
20160822_125922_000.gif,leaf,NA,MC,0,0,0,NA,7333
20160822_130113_000.gif,NA,NA,MC,1,0,0,Food,7333
20160822_143547_000.gif,betelnut,NA,KC,0,0,0,NA,7333
20160822_144219_000.gif,"container lid, crate",NA,KC,0,0,0,NA,7333
20160822_091255_000.gif,taro,NA,MC,0,0,0,NA,4830
20160822_130240_000.gif,manioc,NA,MC,0,0,0,NA,5797
062016.gif,knife,NA,KC,0,0,0,NA,7849
062031.gif,sugarcane,NA,MC,0,0,0,NA,7849
062048.gif,sugarcane,NA,MC,0,0,0,NA,7849
063957.gif,NA,NA,MC,0,0,1,NA,7849
094611.gif,plastic container,NA,MC,0,0,0,NA,7849
094659.gif,plastic container,NA,MC,0,0,0,NA,7849
074928.gif,leaf,NA,MC,0,0,0,NA,5217
080257.gif,toothbrush,in packaging,MC,0,0,0,NA,5217
080313.gif,"toothbrush, post",from context,KC,0,0,0,NA,5217
080328.gif,toothbrush,from context,KC,0,0,0,NA,5217
080343.gif,toothbrush,in packaging,MC,0,0,0,NA,5217
080400.gif,toothbrush,from context,KC,0,0,0,NA,5217
080415.gif,toothbrush,in packaging,MC,0,0,0,NA,5217
080446.gif,toothbrush,from context,KC,0,0,0,NA,5217
080516.gif,toothbrush,NA,KC,0,0,0,NA,5217
080534.gif,toothbrush,NA,MC,0,0,0,NA,5217
080549.gif,toothbrush,NA,KC,0,0,0,NA,5217
080604.gif,toothbrush,NA,MC,0,0,0,NA,5217
083032.gif,buoy,NA,MC,0,0,0,NA,5217
084005.gif,buoy,NA,MC,0,0,0,NA,5217
094001.gif,turtle,NA,MC,0,0,0,NA,5217
094016.gif,turtle,NA,MC,0,0,0,NA,5217
094031.gif,turtle,NA,MC,0,0,0,NA,5217
094118.gif,turtle,NA,MC,0,0,0,NA,5217
094134.gif,turtle,NA,MC,0,0,0,NA,5217
094149.gif,turtle,NA,MC,0,0,0,NA,5217
094204.gif,turtle,NA,MC,0,0,0,NA,5217
094220.gif,turtle,NA,MC,0,0,0,NA,5217
094236.gif,turtle,NA,MC,0,0,0,NA,5217
094251.gif,turtle,NA,MC,0,0,0,NA,5217
094338.gif,turtle,NA,MC,0,0,0,NA,5217
094355.gif,turtle,NA,MC,0,0,0,NA,5217
094410.gif,turtle,NA,MC,0,0,0,NA,5217
094425.gif,turtle,NA,MC,0,0,0,NA,5217
094441.gif,turtle,NA,MC,0,0,0,NA,5217
094456.gif,turtle,NA,MC,0,0,0,NA,5217
094511.gif,turtle,NA,MC,0,0,0,NA,5217
094528.gif,turtle,NA,MC,0,0,0,NA,5217
094543.gif,turtle,NA,MC,0,0,0,NA,5217
094558.gif,turtle,NA,MC,0,0,0,NA,5217
094614.gif,turtle,NA,MC,0,0,0,NA,5217
094629.gif,"turtle, leaf wrapper",NA,MC,0,0,0,NA,5217
094645.gif,leaf wrapper,NA,MC,0,0,0,NA,5217
094702.gif,leaf wrapper,NA,MC,0,0,0,NA,5217
094717.gif,leaf wrapper,NA,MC,0,0,0,NA,5217
095259.gif,shell money,NA,MC,0,0,0,NA,5217
095314.gif,shell money,NA,MC,0,0,0,NA,5217
095329.gif,shell money,NA,MC,0,0,0,NA,5217
095346.gif,shell money,NA,MC,0,0,0,NA,5217
101251.gif,NA,NA,MC,1,0,0,NA,5217
101326.gif,tongs,NA,KC,0,0,0,NA,5217
101341.gif,tongs,NA,KC,0,0,0,NA,5217
101603.gif,NA,NA,KC,1,0,0,NA,5217
120017.gif,camera,NA,KC,0,0,0,NA,5217
124024.gif,sand,NA,KC,0,0,0,NA,5217
125558.gif,camera,NA,KC,0,0,0,NA,5217
083341.gif,gas canister,NA,MC,0,0,0,NA,7423
083356.gif,gas canister,NA,MC,0,0,0,NA,7423
083411.gif,gas canister,NA,MC,0,0,0,NA,7423
083428.gif,gas canister,NA,MC,0,0,0,NA,7423
083443.gif,gas canister,NA,MC,0,0,0,NA,7423
083458.gif,gas canister,NA,MC,0,0,0,NA,7423
083617.gif,gas canister,NA,MC,0,0,0,NA,7423
083632.gif,gas canister,NA,MC,0,0,0,NA,7423
20160831_073950_000.gif,packaging,NA,MC,0,0,0,NA,1039
20160831_074055_000.gif,packaging,NA,MC,0,0,0,NA,1039
20160831_074110_000.gif,packaging,NA,MC,0,0,0,NA,1039
20160831_074125_000.gif,packaging,NA,MC,0,0,0,NA,1039
20160831_074229_000.gif,packaging,NA,MC,0,0,0,NA,1039
20160831_084401_000.gif,tree seed,NA,MC,0,0,0,NA,1039
20160831_084431_000.gif,tree seed,NA,MC,0,0,0,NA,1039
20160831_084634_000.gif,"tree seed, rope",NA,KC,0,0,0,NA,1039
20160831_084649_000.gif,"tree seed, rope",NA,KC,0,0,0,NA,1039
20160831_084705_000.gif,"tree seed, rope",NA,MC,0,0,0,NA,1039
20160831_091340_000.gif,leaf,NA,KC,0,0,0,NA,1039
20160831_102808_000.gif,NA,NA,MC,0,0,1,Natural,1039
20160831_121704_000.gif,tassel,NA,MC,0,0,0,NA,1039
20160831_121824_000.gif,tassel,NA,MC,0,0,0,NA,1039
20160831_121839_000.gif,tassel,NA,KC,0,0,0,NA,1039
20160831_141323_000.gif,soap bar,NA,MC,0,0,0,NA,1039
20160831_141412_000.gif,soap bar,NA,MC,0,0,0,NA,1039
20160831_141427_000.gif,soap bar,NA,MC,0,0,0,NA,1039
20160831_141547_000.gif,soap bar,NA,MC,0,0,0,NA,1039
20160831_141732_000.gif,soap bar,NA,MC,0,0,0,NA,1039
20160831_150228_000.gif,soap bar,NA,MC,0,0,0,NA,1039
20160831_151606_000.gif,tassel,NA,MC,0,0,0,NA,1039
20160831_151621_000.gif,tassel,NA,MC,0,0,0,NA,1039
20160831_085351_000.gif,NA,NA,MC,0,0,1,Food,2677
20160831_104725_000.gif,spoon,food not identified,MC,0,0,0,NA,2677
20160831_104743_000.gif,spoon,food not identified,MC,0,0,0,NA,2677
20160831_104933_000.gif,spoon,food not identified,MC,0,0,0,NA,2677
20160831_104948_000.gif,spoon,food not identified,MC,0,0,0,NA,2677
20160831_105128_000.gif,bowl,food not identified,MC,0,0,0,NA,2677
20160831_105146_000.gif,bowl,food not identified,MC,0,0,0,NA,2677
20160831_105201_000.gif,NA,food not identified,MC,0,1,0,NA,2677
20160831_105216_000.gif,NA,food not identified,MC,0,1,0,NA,2677
20160831_105232_000.gif,spoon,food not identified,MC,0,0,0,NA,2677
20160831_105247_000.gif,spoon,NA,KC,0,0,0,NA,2677
20160831_105302_000.gif,spoon,NA,KC,0,0,0,NA,2677
20160831_105320_000.gif,spoon,NA,KC,0,0,0,NA,2677
20160831_105335_000.gif,NA,NA,KC,0,1,0,NA,2677
20160831_105350_000.gif,spoon,food not identified,KC,0,0,0,NA,2677
20160831_105408_000.gif,NA,NA,KC,0,1,0,NA,2677
20160831_105423_000.gif,spoon,food not identified,KC,0,0,0,NA,2677
20160831_105438_000.gif,spoon,food not identified,KC,0,0,0,NA,2677
20160831_105455_000.gif,spoon,food not identified,KC,0,0,0,NA,2677
20160831_120650_000.gif,NA,NA,MC,1,0,0,NA,2677
20160831_150820_000.gif,stick,NA,MC,0,0,0,NA,2677
20160831_150835_000.gif,stick,NA,MC,0,0,0,NA,2677
20160831_073340_000.gif,"shirt, post",NA,KC,0,0,0,NA,6191
20160831_141354_000.gif,NA,NA,MC,0,0,1,Natural,6191
20160831_070809_000.gif,NA,NA,KC,1,0,0,NA,5064
20160831_071042_000.gif,NA,NA,KC,1,0,0,NA,5064
20160831_094819_000.gif,spoon,NA,KC,0,0,0,NA,5064
20160831_101509_000.gif,sago,NA,KC,0,0,0,NA,5064
20160831_101525_000.gif,NA,NA,MC,1,0,0,Food,5064
20160831_101541_000.gif,sago,NA,NA,NA,NA,NA,NA,5064
20160831_101612_000.gif,NA,NA,MC,1,0,0,Food,5064
20160831_101629_000.gif,NA,NA,MC,1,0,0,Food,5064
20160831_143908_000.gif,NA,NA,KC,0,1,0,NA,5064
20160831_143923_000.gif,NA,NA,KC,0,1,0,NA,5064
20160831_143938_000.gif,NA,NA,KC,0,1,0,NA,5064
20160831_144009_000.gif,NA,NA,KC,0,1,0,NA,5064
152440.gif,cookie,NA,MC,0,0,0,NA,7512
152743.gif,cookie,NA,MC,0,0,0,NA,7512
152816.gif,cookie,NA,MC,0,0,0,NA,7512
152846.gif,cookie,NA,MC,0,0,0,NA,7512
152916.gif,cookie,NA,MC,0,0,0,NA,7512
152948.gif,cookie,NA,MC,0,0,0,NA,7512
144921.gif,masa,NA,MC,0,0,0,NA,6852
144953.gif,masa,NA,MC,0,0,0,NA,6852
145023.gif,masa,NA,MC,0,0,0,NA,6852
145053.gif,masa,NA,MC,0,0,0,NA,6852
145125.gif,masa,NA,MC,0,0,0,NA,6852
145529.gif,hammock,NA,KC,0,0,0,NA,6852
145600.gif,hammock,NA,KC,0,0,0,NA,6852
145832.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150106.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150136.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150207.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150237.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150339.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150409.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150439.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150511.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150611.gif,hammock,NA,KC,0,0,0,NA,6852
150642.gif,hammock,NA,KC,0,0,0,NA,6852
150742.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150815.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150845.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150915.gif,embroidery ring,NA,KC,0,0,0,NA,6852
150947.gif,embroidery ring,NA,KC,0,0,0,NA,6852
151017.gif,embroidery ring,NA,KC,0,0,0,NA,6852
151416.gif,NA,NA,MC,0,0,1,Synthetic,6852
162313.gif,ladder,NA,MC,0,0,0,NA,6852
170736.gif,spiky toy,NA,KC,0,0,0,NA,6852
194434.gif,tortilla,NA,MC,0,0,0,NA,6852
195534.gif,misc tool,NA,MC,0,0,0,Tool (work),6852
195651.gif,misc tool,NA,MC,0,0,0,Tool (work),6852
