Object,Count,object.corrected,check.again,viewed.image,checker,comments,
ipod touch,1,phone,0,1,KC,,
iron rods,1,rebar,0,1,KC,,
juice,1,juice,0,1,KC,,
kife,1,knife-M,0,1,KC,,
large plastic bag,1,bulk food bag,1,1,KC,,
laundry basket,1,NA,0,1,KC,added to corrections.csv,
leafs,1,leaf,0,0,KC,,
legal pad,1,notebook,0,0,KC,,
level,1,level,0,0,KC,,
logs,1,NA,0,1,KC,added to corrections.csv,
long sleeve shirt,1,shirt,0,0,KC,,
medicine bottle,1,plastic bottle,0,1,KC,,
medicine tube,1,medicine tube,0,0,KC,,
metal chain,1,metal chain,0,1,KC,,
metal pots,1,pot,0,1,KC,,
metal table,1,table,0,1,KC,,
metal wire,1,wire,0,1,KC,,
movie,1,movie,0,1,KC,,
nail,1,NA,NA,NA,NA,,
napkin,1,napkin,0,0,KC,,
newspaper,1,newspaper,0,0,KC,,
packaged cookies,1,cookie,0,1,KC,,
packaged food,1,NA,0,1,KC,added to corrections.csv,
packaged rice bag,1,NA,0,1,KC,added to corrections.csv,
palm leaf stalk,1,leaf,0,0,KC,,
pan,1,NA,0,1,KC,,
paper tissue,1,NA,0,1,KC,,
picture,1,photo,0,1,KC,,
pile of leaves/twigs/dirt,1,dirt,0,1,KC,,
pink cloth,1,NA,0,1,KC,added to corrections.csv,
pink fabric,1,fabric,0,0,KC,,
plaid fabric,1,NA,0,1,KC,added to corrections.csv,
plastic bag of eggs,1,"plastic bag, egg",0,0,KC,,
plastic bin,1,container,0,1,KC,,
plastic bottle cap,1,bottle cap,0,0,KC,,
plastic crate,1,crate,0,0,KC,,
plastic food packaging,1,packaged snack,0,1,KC,,
plastic plate,1,plate,0,1,KC,,
plastic work tool,1,plastic tubing,0,1,KC,,
plat pot,1,plant pot,0,0,KC,,
play mat,1,child play mat,0,1,KC,,
princess bag,1,princess bag,0,1,KC,unsure what the function is but definitely toy,
processed wooden slats,1,wood slat,0,1,KC,,
purple crayon?,1,NA,0,1,KC,added to corrections.csv,
purple flowers,1,flower,0,0,KC,,
rag,1,NA,0,1,KC,added to corrections.csv,
red bowl,1,bowl,0,0,KC,,
remote,1,remote,0,0,KC,,
rope on door,1,rope,0,1,KC,,
sheet,1,bed sheet,0,1,KC,being used as room divider,
shoes,1,shoe,0,0,KC,,
shortd,1,shorts,0,0,KC,,
skirt (worn by adult),1,skirt,0,0,KC,,
sode bottle,1,empty drink bottle,0,1,KC,,
spade,1,shovel,0,1,KC,,
stake,1,stick,0,1,KC,,
stereo,1,stereo,0,0,KC,,
stereo system,1,stereo,0,0,KC,,
stone platform,1,stone platform,1,1,KC,,
stuffed animal monkey,1,stuffed animal,0,1,KC,,
taffy wrapper,1,candy,0,0,KC,,
tape,1,tape,0,0,KC,,
tassle,1,tassel,0,0,KC,,
tin contianer,1,tin container,0,0,KC,,
top,1,NA,0,1,KC,,
trash basket (full of tuber peels/coconut shards/betelnut trash),1,trash,0,1,KC,,
tv,1,television,0,1,KC,,
unprocessed wooden stick,1,stick,0,1,KC,,
visor,1,hat,0,0,KC,,
wheel barrow wheel,1,wheelbarrow,0,0,KC,,
