Object,Count,object.corrected,check.again,viewed.image,checker,comments,
bowl of food,24,NA,NA,NA,NA,,
leaf wrapper,24,leaf wrapper,0,1,KC,,
meat,24,NA,NA,NA,NA,,
post,24,pole,0,1,KC,"synthetic object, not immovable",
salt,24,salt,0,0,KC,,
sea turtle,24,seafood,1,0,KC,,
shell money,24,shell money,0,0,KC,,
government food packet,25,government food packet,0,0,KC,,
tin container,25,tin container,0,1,KC,,
trash,25,trash,0,0,KC,,
turtle toy,25,toy turtle,0,0,KC,,
jacket,26,jacket,0,0,KC,,
lighter,26,lighter,0,0,KC,,
nail clippers,26,nail clippers,0,0,KC,,
orange waterbottle,26,reusable water bottle,0,1,KC,,
wood,26,firewood,0,1,KC,"switched some to stick, possibly some finer-grained variation here",
baby bottle,27,baby bottle,0,0,KC,,
chayote,27,chayote,0,0,KC,,
metal bottle cap,27,bottle cap,0,0,KC,,
misc cardboard box,27,cardboard packaging,0,1,KC,,
soda bottle,27,soda,0,1,KC,some other variations in corrections.csv,
suitcase,27,suitcase,0,0,KC,,
trash bag,27,plastic bag,0,1,KC,don't think we're reliable enough at distinguishing misc plastic bag function,
wooden chair,27,chair,0,0,KC,,
avocado,28,avocado,0,0,KC,,
calculator,28,calculator,0,0,KC,,
doll,28,doll,0,0,KC,,
long wood stick,28,wood slat,0,1,KC,,
misc container lid,28,container lid,0,0,KC,,
popsicle stick,28,popsicle stick,0,0,KC,,
safety pin,28,safety pin,0,0,KC,,
toys,28,NA,0,1,KC,added to corrections.csv,
misc packaging,30,cardboard packaging,0,1,KC,,
packaging,30,cardboard packaging,0,1,KC,all cardboard/paper packaging that's not identifiable as food,
ribbon,30,ribbon,0,0,KC,,
tree seed,30,seed,0,1,KC,,
walking support,30,walking support,0,0,KC,,
dried bean pods,31,bean,0,0,KC,,
experiment vest,31,vest,0,0,KC,,
fence,31,fence,0,0,KC,,
lollipop,31,candy,0,0,KC,,
bread roll,33,bread,0,0,KC,,
shelf,33,shelf,0,0,KC,,
swing,33,swing,0,0,KC,,
betel nut,34,betelnut,0,0,KC,,
leaves,34,leaf,0,0,KC,,
pen,34,pen,0,0,KC,,
rolled up leaf,34,leaf,1,1,KC,better label?,
tassel,34,tassel,0,0,KC,,
burlap,35,burlap,0,0,KC,,
mug,35,cup,0,0,KC,,
plate,35,plate,0,0,KC,,
barrel,36,barrel,0,0,KC,,
bench seat,36,bench,1,0,KC,MC check,
cardboard,36,cardboard box,0,1,KC,removed one,
coloring book,36,coloring book,0,0,KC,,
maraca,36,maraca,0,0,KC,,
pasta,36,noodles,0,0,KC,,
slingshot,36,slingshot,0,0,KC,,
container lid,37,container lid,0,0,KC,,
plastic basket,37,plastic basket,0,0,KC,,
plastic packaging,37,plastic packaging,1,1,KC,differentiate food vs. other types of packaging?,
box,38,NA,0,1,KC,added to corrections.csv,
dress,38,dress,0,0,KC,,
mats,38,mats,0,0,KC,,
rice puff,38,chips,0,0,KC,,
clothing,39,fabric,0,1,KC,currently just calling unidentified clothing fabric to be more conservative in estimating unique objects,
packaged snack,39,packaged snack,1,1,KC,,
pot,40,pot,0,0,KC,,
stuffed bunny,40,stuffed animal,0,0,KC,,
fabric,41,fabric,0,1,KC,"switched a few to purse, possibly some finer-grained distinctions here but remaining left as fabric for now",
mango,41,mango,0,0,KC,,
mat,41,mat ,0,0,KC,,
processed wooden stick,41,stick,0,1,KC,added some to corrections.csv,
rice ball,41,rice ball,0,0,KC,,
metal fragment,42,knife-W,0,1,MC/KC,,
misc toy,42,toy,0,1,KC,added to corrections.csv,NEED TO UPDATE UNSURE-CHECKS
mumu'd tuber paste,42,mumu'd tuber paste,0,0,KC,,
pencil,42,pencil,0,0,KC,,
soap bar,42,soap,0,0,KC,,
wood slat,42,wood slat,0,1,KC,,
tree branch,43,stick,0,1,KC,added to corrections.csv,NEED TO UPDATE UNSURE-CHECKS
masa,45,masa,0,0,KC,,
plate of food,45,"plate, food",1,1,KC,added to corrections.csv,NEED TO UPDATE UNSURE-CHECKS
bready sheet,46,bready sheet,0,0,KC,,
rambutan,46,rambutan,0,0,KC,,
rocks,46,rock,0,0,KC,,
tire,46,tire,0,1,KC,moved some to corrections.csv,
green ball,47,ball,0,0,KC,,
oat bar,47,granola bar,0,1,KC,,
palm leaf,47,leaf,0,0,KC,,
apple,48,apple,0,0,KC,,
door,49,door,0,0,KC,,
hay,49,hay,0,0,KC,,
plastic rice bag,50,NA,0,1,KC,added to corrections.csv,
soda,50,soda,0,1,KC,,
broom,51,broom,0,0,KC,,
taffy,51,candy,0,0,KC,,
wooden blocks,52,wood slat,0,1,KC,"corrected one, note that this looks like construction debris too",
cracker,53,cracker,0,0,KC,,
gas canister,55,gas canister,0,0,KC,,
net,55,hammock,0,1,KC,switched some to fishnet and yarn,
comb,56,comb,0,0,KC,,
pear,56,pear,0,0,KC,,
breastmilk,57,milk,0,0,KC,,
metal pot,57,pot,0,0,KC,,
skirt,58,skirt,0,0,KC,,
yellow stuffed animal,58,stuffed animal,0,1,KC,,
corn kernels,59,corn,0,0,KC,,
lime,59,lime,0,0,KC,,
baby bathtub,60,baby bathtub,0,0,KC,,
baked good,60,bread,0,1,KC,fixed a bunch in corrections.csv,
bean,63,bean,0,0,KC,,
bread,63,bread,0,1,KC,,
marble,63,marble,0,0,KC,,
camera,64,camera,0,0,KC,,
house pile,65,house pile,0,0,KC,,
stuffed animal,66,stuffed animal,0,1,KC,decided to collapse for now - we should probably return to these in a second pass,
wind up toy,66,wind up toy,0,0,KC,,
wooden stick,67,stick,0,1,KC,"switched a bunch to sugar cane, tongs, or tool in corrections.csv",
water bottle,68,reusable water bottle,0,1,KC,"made distinctions between reusable water bottle (M), bottled water that's full/child is actively drinking (F), empty drink bottle (S), added to corrections.csv",
bottle of milk,69,"baby bottle, milk",0,1,KC,,
beans,71,bean,0,0,KC,,
peanut,72,peanut,0,0,KC,,
bag,73,purse,0,1,KC,possibly some other distinctions,
grass,75,grass,0,0,KC,,
chair,76,chair,0,0,KC,,
red car,76,toy car,0,1,KC,,
tree,77,tree,0,0,KC,,
lotion,79,lotion,0,0,KC,,
belt,80,belt,0,0,KC,,
bottle cap,80,bottle,0,0,KC,,
leafy green,81,leafy green,0,0,KC,,
corn,82,corn,0,0,KC,,
rice,83,rice,0,0,KC,,
pants,85,pants,0,0,KC,,
bucket,86,bucket,0,0,KC,,
table,86,table,0,0,KC,,
sippy cup,87,baby bottle,0,1,KC,baby bottles/sippy cups grouped together,
string,87,string,0,1,KC,corrected some,
misc plastic,90,plastic packaging,0,1,KC,,
toothbrush,91,toothbrush,0,0,KC,,
blanket,93,blanket,0,0,KC,,
bean soup,95,bean soup,0,0,KC,,
blue action figure,95,action figure,0,0,KC,,
tongs,95,tongs,0,1,KC,,
fruit,99,fruit (unknown variety),1,0,KC,,
bottle,101,NA,0,1,KC,added to corrections.csv,
red object,102,NA,0,1,KC,,
embroidery ring,104,embroidery ring,0,0,KC,,
shorts,104,shorts,0,0,KC,,
plant,108,plant,0,0,KC,,
popsicle,108,popsicle,0,0,KC,,
paper,109,paper,0,0,KC,,
tortilla,112,tortilla,0,0,KC,,
sugar cane,114,sugar cane,0,0,KC,,
blue rope,117,swing,0,1,KC,,
cup,119,cup,0,1,KC,,
bean pod,123,bean,0,0,KC,,
plastic bag,128,plastic bag,0,1,KC,added some to corrections.csv,
cookie,129,cookie,0,0,KC,,
turtle,132,turtle,0,0,KC,,
flower,133,flower,0,0,KC,,
money,134,money,0,0,KC,,
papaya,137,papaya,0,0,KC,,
packaged candy,138,candy,0,0,KC,,
guava,145,guava,0,0,KC,,
dirt,146,dirt,0,0,KC,,
toy car,149,toy car,0,0,KC,,
guitar,150,guitar,0,0,KC,,
milk,155,milk,0,0,KC,,
woven basket,162,woven basket,0,0,KC,,
shoe,164,shoe,0,0,KC,,
misc container,168,container,0,0,KC,,
nut,170,nut,0,0,KC,,
paintbrush,172,paintbrush,0,0,KC,,
cotton debris,180,cotton debris,0,0,KC,,
plastic bottle,187,plastic bottle,0,1,KC,"made distinctions between reusable water bottle (M), bottled water that's full/child is actively drinking (F), empty drink bottle (S), added to corrections.csv",
floor,192,floor,0,1,KC,,
phone,193,phone,0,0,KC,,
candy,197,candy,0,0,KC,,
food,202,NA,0,1,KC,added to corrections.csv,
hammock,218,hammock,0,0,KC,,
bowl,229,bowl,0,0,KC,,
vest,230,vest,0,0,KC,,
rope,233,rope,0,0,KC,,
stairs,244,stairs,0,0,KC,,
chips,252,chips,0,1,KC,,
veranda,258,veranda,0,1,KC,,
detergent,264,detergent,0,0,KC,,
coconut,285,coconut,0,0,KC,,
shirt,291,shirt,0,0,KC,,
rock,315,rock,0,0,KC,,
broom bristle,318,broom,0,0,KC,,
book,376,book,0,1,KC,maybe need distinction between children's books and others,
spoon,392,spoon,0,0,KC,,
banana,393,banana,0,0,KC,,
betelnut,398,betelnut,0,0,KC,,
sago,401,sago,0,0,KC,,
fruit (unknown variety),409,fruit,1,0,KC,add numbers for different varieties,
tuber,415,tuber,0,0,KC,,
wall,418,wall,0,0,KC,,
sugarcane,445,sugar cane,0,0,KC,,
leaf,475,leaf,0,0,KC,,
ball,511,ball,0,0,KC,,
camera lens,568,camera,0,0,KC,,
stick,738,stick,0,0,KC,,
seafood,865,seafood,0,0,KC,,
knife-M,,knife-M,0,0,KC,,
knife-W,,knife-W,0,0,KC,,
fishing debris,,fishing debris,0,0,KC,,
