sub_num,Image,TimestampHMS
7101,20160811_061810_000.gif,08:17:12
7101,20160811_061820_000.gif,08:17:22
7101,20160811_061831_000.gif,08:17:33
7101,20160811_061842_000.gif,08:17:44
7101,20160811_061852_000.gif,08:17:54
7101,20160811_061902_000.gif,08:18:04
7101,20160811_061913_000.gif,08:18:15
7101,20160811_061924_000.gif,08:18:26
7101,20160811_061934_000.gif,08:18:36
7101,20160811_061945_000.gif,08:18:47
7101,20160811_061955_000.gif,08:18:57
7101,20160811_062005_000.gif,08:19:07
7101,20160811_062017_000.gif,08:19:19
7101,20160811_062027_000.gif,08:19:29
7101,20160811_062033_000.gif,08:19:35
7101,20160811_062044_000.gif,08:19:46
7101,20160811_062054_000.gif,08:19:56
7101,20160811_062105_000.gif,08:20:07
7101,20160811_062115_000.gif,08:20:17
7101,20160811_062125_000.gif,08:20:27
7101,20160811_062138_000.gif,08:20:40
7101,20160811_062148_000.gif,08:20:50
7101,20160811_062158_000.gif,08:21:00
7101,20160811_062210_000.gif,08:21:12
7101,20160811_062220_000.gif,08:21:22
7101,20160811_062230_000.gif,08:21:32
7101,20160811_062241_000.gif,08:21:43
7101,20160811_062251_000.gif,08:21:53
7101,20160811_062302_000.gif,08:22:04
7101,20160811_062313_000.gif,08:22:15
7101,20160811_062324_000.gif,08:22:26
7101,20160811_062334_000.gif,08:22:36
7101,20160811_062347_000.gif,08:22:49
7101,20160811_062357_000.gif,08:22:59
7101,20160811_062407_000.gif,08:23:09
7101,20160811_062420_000.gif,08:23:22
7101,20160811_062430_000.gif,08:23:32
7101,20160811_062440_000.gif,08:23:42
7101,20160811_062451_000.gif,08:23:53
7101,20160811_062501_000.gif,08:24:03
7101,20160811_062511_000.gif,08:24:13
7101,20160811_062523_000.gif,08:24:25
7101,20160811_062533_000.gif,08:24:35
7101,20160811_062543_000.gif,08:24:45
7101,20160811_062554_000.gif,08:24:56
7101,20160811_062604_000.gif,08:25:06
7101,20160811_062614_000.gif,08:25:16
7101,20160811_062627_000.gif,08:25:29
7101,20160811_062637_000.gif,08:25:39
7101,20160811_062647_000.gif,08:25:49
7101,20160811_062658_000.gif,08:26:00
7101,20160811_062708_000.gif,08:26:10
7101,20160811_062718_000.gif,08:26:20
7101,20160811_062730_000.gif,08:26:32
7101,20160811_062740_000.gif,08:26:42
7101,20160811_062750_000.gif,08:26:52
