Image,Comments,Hands,Unsure,Flagged,Skipped,sub_num
20160811_065148_000.gif,NA,0,0,0,0,7101
20160811_065158_000.gif,NA,0,0,0,0,7101
20160811_065208_000.gif,NA,0,0,0,0,7101
20160811_065221_000.gif,NA,0,0,0,0,7101
20160811_065231_000.gif,NA,0,0,0,0,7101
20160811_065241_000.gif,NA,0,0,0,0,7101
20160811_065439_000.gif,NA,2,0,0,0,7101
20160811_065449_000.gif,NA,2,0,0,0,7101
20160811_065500_000.gif,NA,2,0,0,0,7101
20160811_065511_000.gif,NA,2,0,0,0,7101
20160811_065521_000.gif,NA,2,0,0,0,7101
20160811_065532_000.gif,NA,2,0,0,0,7101
20160811_065542_000.gif,NA,2,0,0,0,7101
20160811_065552_000.gif,NA,2,0,0,0,7101
20160811_065603_000.gif,NA,0,0,0,0,7101
20160811_065613_000.gif,NA,0,0,0,0,7101
20160811_065624_000.gif,NA,0,0,0,0,7101
20160811_065636_000.gif,NA,0,0,0,0,7101
20160811_065646_000.gif,NA,2,0,0,0,7101
20160811_065656_000.gif,NA,2,0,0,0,7101
20160811_065708_000.gif,NA,2,0,0,0,7101
20160811_065718_000.gif,NA,2,0,0,0,7101
20160811_065728_000.gif,NA,2,0,0,0,7101
20160811_065740_000.gif,NA,2,0,0,0,7101
20160811_065750_000.gif,NA,2,0,0,0,7101
20160811_065800_000.gif,NA,2,0,0,0,7101
20160811_065812_000.gif,NA,0,0,0,0,7101
20160811_070507_000.gif,NA,0,0,0,0,7101
20160811_070518_000.gif,NA,0,0,0,0,7101
20160811_070528_000.gif,NA,0,0,0,0,7101
20160811_070653_000.gif,NA,0,0,0,0,7101
20160811_070703_000.gif,NA,0,0,0,0,7101
20160811_070713_000.gif,NA,0,0,0,0,7101
20160811_070815_000.gif,NA,0,0,0,0,7101
20160811_070835_000.gif,NA,0,0,0,0,7101
20160811_070846_000.gif,NA,0,0,0,0,7101
20160811_070856_000.gif,NA,0,0,0,0,7101
20160811_070906_000.gif,NA,0,0,0,0,7101
20160811_070918_000.gif,NA,0,0,0,0,7101
20160811_070928_000.gif,NA,0,0,0,0,7101
20160811_070938_000.gif,NA,0,0,0,0,7101
20160811_070950_000.gif,NA,1,0,0,0,7101
20160811_071000_000.gif,NA,1,0,0,0,7101
20160811_071010_000.gif,NA,1,0,0,0,7101
20160811_071022_000.gif,NA,0,0,0,0,7101
20160811_071032_000.gif,NA,0,0,0,0,7101
20160811_071042_000.gif,NA,0,0,0,0,7101
20160811_071054_000.gif,NA,0,0,0,0,7101
20160811_071104_000.gif,NA,0,0,0,0,7101
20160811_071114_000.gif,NA,0,0,0,0,7101
20160811_071126_000.gif,NA,0,0,0,0,7101
20160811_071137_000.gif,NA,0,0,0,0,7101
20160811_071147_000.gif,NA,0,0,0,0,7101
20160811_071158_000.gif,NA,0,0,0,0,7101
20160811_071208_000.gif,NA,0,0,0,0,7101
20160811_071218_000.gif,NA,0,0,0,0,7101
20160811_071229_000.gif,NA,0,0,0,0,7101
20160811_071239_000.gif,NA,0,0,0,0,7101
20160811_071249_000.gif,NA,0,0,0,0,7101
20160811_071300_000.gif,NA,1,0,0,0,7101
20160811_071310_000.gif,NA,1,0,0,0,7101
20160811_071320_000.gif,NA,0,0,0,0,7101
20160811_071331_000.gif,NA,0,0,0,0,7101
20160811_071341_000.gif,NA,0,0,0,0,7101
20160811_071351_000.gif,NA,0,0,0,0,7101
20160811_071402_000.gif,NA,0,0,0,0,7101
20160811_073851_000.gif,NA,0,0,0,0,7101
20160811_074102_000.gif,NA,0,0,0,0,7101
20160811_074112_000.gif,NA,0,0,0,0,7101
20160811_074123_000.gif,NA,1,0,0,0,7101
20160811_074133_000.gif,NA,1,0,0,0,7101
20160811_074143_000.gif,NA,0,0,0,0,7101
20160811_074227_000.gif,NA,0,0,0,0,7101
20160811_074237_000.gif,NA,1,0,0,0,7101
20160811_074247_000.gif,NA,0,0,0,0,7101
20160811_074259_000.gif,NA,1,0,0,0,7101
20160811_074309_000.gif,NA,1,0,0,0,7101
20160811_074319_000.gif,NA,1,0,0,0,7101
20160811_074331_000.gif,NA,1,0,0,0,7101
20160811_074341_000.gif,NA,1,0,0,0,7101
20160811_074351_000.gif,NA,1,0,0,0,7101
20160811_074403_000.gif,NA,0,0,0,0,7101
20160811_074413_000.gif,NA,0,0,0,0,7101
20160811_074423_000.gif,NA,0,0,0,0,7101
20160811_074435_000.gif,NA,0,0,0,0,7101
20160811_074445_000.gif,NA,0,0,0,0,7101
20160811_074455_000.gif,NA,0,0,0,0,7101
20160811_074500_000.gif,NA,0,0,0,0,7101
20160811_074510_000.gif,NA,2,0,0,0,7101
20160811_074521_000.gif,NA,1,0,0,0,7101
20160811_074533_000.gif,NA,0,0,0,0,7101
20160811_074543_000.gif,NA,1,0,0,0,7101
20160811_074553_000.gif,NA,0,0,0,0,7101
20160811_074604_000.gif,NA,1,0,0,0,7101
20160811_074614_000.gif,NA,0,0,0,0,7101
20160811_074624_000.gif,NA,0,0,0,0,7101
20160811_074645_000.gif,NA,0,0,0,0,7101
20160811_074655_000.gif,NA,0,0,0,0,7101
20160811_074707_000.gif,NA,0,0,0,0,7101
20160811_074717_000.gif,NA,0,0,0,0,7101
20160811_074727_000.gif,NA,1,0,0,0,7101
20160811_074738_000.gif,NA,0,0,0,0,7101
20160811_074748_000.gif,NA,0,0,0,0,7101
20160811_074758_000.gif,NA,0,0,0,0,7101
20160811_074811_000.gif,NA,0,0,0,0,7101
20160811_074821_000.gif,NA,0,0,0,0,7101
20160811_074831_000.gif,NA,0,0,0,0,7101
20160811_074858_000.gif,NA,0,0,0,0,7101
20160811_074909_000.gif,NA,1,0,0,0,7101
20160811_074919_000.gif,NA,0,0,0,0,7101
20160811_074931_000.gif,NA,1,0,0,0,7101
20160811_074941_000.gif,NA,1,0,0,0,7101
20160811_075003_000.gif,NA,1,0,0,0,7101
20160811_075013_000.gif,NA,0,0,0,0,7101
20160811_075023_000.gif,NA,2,0,0,0,7101
20160811_075036_000.gif,NA,2,0,0,0,7101
20160811_075046_000.gif,NA,2,0,0,0,7101
20160811_075056_000.gif,NA,2,0,0,0,7101
20160811_075108_000.gif,NA,1,0,0,0,7101
20160811_075118_000.gif,NA,1,0,0,0,7101
20160811_075128_000.gif,NA,1,0,0,0,7101
20160811_075140_000.gif,NA,2,0,0,0,7101
20160811_075150_000.gif,NA,1,0,0,0,7101
20160811_075200_000.gif,NA,1,0,0,0,7101
20160811_075212_000.gif,NA,1,0,0,0,7101
20160811_075222_000.gif,NA,2,0,0,0,7101
20160811_075232_000.gif,NA,0,0,0,0,7101
20160811_075243_000.gif,NA,1,0,0,0,7101
20160811_075253_000.gif,NA,1,0,0,0,7101
20160811_075303_000.gif,NA,1,0,0,0,7101
20160811_075316_000.gif,NA,1,0,0,0,7101
20160811_075326_000.gif,NA,1,0,0,0,7101
20160811_075336_000.gif,NA,1,0,0,0,7101
20160811_075347_000.gif,NA,2,0,0,0,7101
20160811_075357_000.gif,NA,2,0,0,0,7101
20160811_075407_000.gif,NA,2,0,0,0,7101
20160811_075418_000.gif,NA,1,0,0,0,7101
20160811_075428_000.gif,NA,2,0,0,0,7101
20160811_075438_000.gif,NA,1,0,0,0,7101
20160811_075449_000.gif,NA,2,0,0,0,7101
20160811_075509_000.gif,NA,0,0,0,0,7101
20160811_075520_000.gif,NA,0,0,0,0,7101
20160811_075531_000.gif,NA,1,0,0,0,7101
20160811_075541_000.gif,NA,1,0,0,0,7101
20160811_075554_000.gif,NA,1,0,0,0,7101
20160811_075604_000.gif,NA,0,0,0,0,7101
20160811_075614_000.gif,NA,0,0,0,0,7101
20160811_075625_000.gif,NA,1,0,0,0,7101
20160811_075635_000.gif,NA,1,0,0,0,7101
20160811_075645_000.gif,NA,1,0,0,0,7101
20160811_075658_000.gif,NA,1,0,0,0,7101
20160811_075708_000.gif,NA,1,0,0,0,7101
20160811_075718_000.gif,NA,1,0,0,0,7101
20160811_075730_000.gif,NA,1,0,0,0,7101
20160811_075740_000.gif,NA,1,0,0,0,7101
20160811_075747_000.gif,NA,0,0,0,0,7101
20160811_075757_000.gif,NA,0,0,0,0,7101
20160811_075808_000.gif,NA,2,0,0,0,7101
20160811_075819_000.gif,NA,1,0,0,0,7101
20160811_075830_000.gif,NA,1,0,0,0,7101
20160811_075840_000.gif,NA,2,0,0,0,7101
20160811_075852_000.gif,NA,2,0,0,0,7101
20160811_075902_000.gif,NA,1,0,0,0,7101
20160811_075912_000.gif,NA,1,0,0,0,7101
20160811_075924_000.gif,NA,0,0,0,0,7101
20160811_075934_000.gif,NA,0,0,0,0,7101
20160811_075944_000.gif,NA,0,0,0,0,7101
20160811_075956_000.gif,NA,0,0,0,0,7101
20160811_080006_000.gif,NA,1,0,0,0,7101
20160811_080016_000.gif,NA,0,0,0,0,7101
20160811_090601_000.gif,NA,0,0,0,0,7101
20160811_090612_000.gif,NA,0,0,0,0,7101
20160811_090624_000.gif,NA,0,0,0,0,7101
20160811_090634_000.gif,NA,0,0,0,0,7101
20160811_090644_000.gif,NA,1,0,0,0,7101
20160811_090656_000.gif,NA,1,0,0,0,7101
20160811_090706_000.gif,NA,2,0,0,0,7101
20160811_090716_000.gif,NA,1,0,0,0,7101
20160811_090729_000.gif,NA,2,0,0,0,7101
20160811_090739_000.gif,NA,2,0,0,0,7101
20160811_090749_000.gif,NA,2,0,0,0,7101
20160811_090800_000.gif,NA,2,0,0,0,7101
20160811_090810_000.gif,NA,2,0,0,0,7101
20160811_090820_000.gif,NA,1,0,0,0,7101
20160811_090832_000.gif,NA,2,0,0,0,7101
20160811_090842_000.gif,NA,1,0,0,0,7101
20160811_090852_000.gif,NA,1,0,0,0,7101
20160811_090905_000.gif,NA,1,0,0,0,7101
20160811_090915_000.gif,NA,1,0,0,0,7101
20160811_090925_000.gif,NA,1,0,0,0,7101
20160811_090936_000.gif,NA,1,0,0,0,7101
20160811_090947_000.gif,NA,1,0,0,0,7101
20160811_090957_000.gif,NA,1,0,0,0,7101
20160811_091009_000.gif,NA,1,0,0,0,7101
20160811_091019_000.gif,NA,2,0,0,0,7101
20160811_091029_000.gif,NA,1,0,0,0,7101
20160811_091042_000.gif,NA,2,0,0,0,7101
20160811_091052_000.gif,NA,0,0,0,0,7101
20160811_091102_000.gif,NA,1,0,0,0,7101
20160811_091114_000.gif,NA,0,0,0,0,7101
20160811_091124_000.gif,NA,1,0,0,0,7101
20160811_091134_000.gif,NA,1,0,0,0,7101
20160811_091145_000.gif,NA,0,0,0,0,7101
20160811_091155_000.gif,NA,0,0,0,0,7101
20160811_091205_000.gif,NA,1,0,0,0,7101
20160811_091217_000.gif,NA,1,0,0,0,7101
20160811_091227_000.gif,NA,1,0,0,0,7101
20160811_091237_000.gif,NA,0,0,0,0,7101
20160811_091249_000.gif,NA,1,0,0,0,7101
20160811_091259_000.gif,NA,1,0,0,0,7101
20160811_091309_000.gif,NA,1,0,0,0,7101
20160811_091322_000.gif,NA,0,0,0,0,7101
20160811_091332_000.gif,NA,1,0,0,0,7101
20160811_091342_000.gif,NA,1,0,0,0,7101
20160811_091353_000.gif,NA,0,0,0,0,7101
20160811_091356_000.gif,NA,0,0,0,0,7101
20160811_091406_000.gif,NA,0,0,0,0,7101
20160811_091417_000.gif,NA,1,0,0,0,7101
20160811_091429_000.gif,NA,1,0,0,0,7101
20160811_091439_000.gif,NA,2,0,0,0,7101
20160811_091449_000.gif,NA,1,0,0,0,7101
20160811_091500_000.gif,NA,1,0,0,0,7101
20160811_091510_000.gif,NA,1,0,0,0,7101
20160811_091520_000.gif,NA,2,0,0,0,7101
20160811_091532_000.gif,NA,1,0,0,0,7101
20160811_091542_000.gif,NA,1,0,0,0,7101
20160811_091552_000.gif,NA,0,0,0,0,7101
20160811_091604_000.gif,NA,1,0,0,0,7101
20160811_091614_000.gif,NA,2,0,0,0,7101
20160811_091624_000.gif,NA,1,0,0,0,7101
20160811_091637_000.gif,NA,2,0,0,0,7101
20160811_091647_000.gif,NA,2,0,0,0,7101
20160811_091657_000.gif,NA,1,0,0,0,7101
20160811_091708_000.gif,NA,2,0,0,0,7101
20160811_091719_000.gif,NA,2,0,0,0,7101
20160811_091729_000.gif,NA,1,0,0,0,7101
20160811_091741_000.gif,NA,1,0,0,0,7101
20160811_091751_000.gif,NA,1,0,0,0,7101
20160811_091801_000.gif,NA,0,0,0,0,7101
20160811_091814_000.gif,NA,1,0,0,0,7101
20160811_091824_000.gif,NA,1,0,0,0,7101
20160811_091834_000.gif,NA,1,0,0,0,7101
20160811_091845_000.gif,NA,0,0,0,0,7101
20160811_091855_000.gif,NA,1,0,0,0,7101
20160811_091905_000.gif,NA,1,0,0,0,7101
20160811_091917_000.gif,NA,0,0,0,0,7101
20160811_091927_000.gif,NA,1,0,0,0,7101
20160811_091938_000.gif,NA,1,0,0,0,7101
20160811_091949_000.gif,NA,1,0,0,0,7101
20160811_091959_000.gif,NA,1,0,0,0,7101
20160811_092009_000.gif,NA,1,0,0,0,7101
20160811_092020_000.gif,NA,1,0,0,0,7101
20160811_092030_000.gif,NA,1,0,0,0,7101
20160811_092040_000.gif,NA,1,0,0,0,7101
20160811_092052_000.gif,NA,1,0,0,0,7101
20160811_092102_000.gif,NA,0,0,0,0,7101
20160811_092112_000.gif,NA,0,0,0,0,7101
20160811_092124_000.gif,NA,1,0,0,0,7101
20160811_092134_000.gif,NA,0,0,0,0,7101
20160811_092144_000.gif,NA,1,0,0,0,7101
20160811_092155_000.gif,NA,1,0,0,0,7101
20160811_092205_000.gif,NA,1,0,0,0,7101
20160811_092215_000.gif,NA,1,0,0,0,7101
20160811_092226_000.gif,NA,1,0,0,0,7101
20160811_092236_000.gif,NA,1,0,0,0,7101
20160811_092246_000.gif,NA,1,0,0,0,7101
20160811_092258_000.gif,NA,1,0,0,0,7101
20160811_092308_000.gif,NA,2,0,0,0,7101
20160811_092318_000.gif,NA,0,0,0,0,7101
20160811_092330_000.gif,NA,0,0,0,0,7101
20160811_092340_000.gif,NA,1,0,0,0,7101
20160811_092350_000.gif,NA,1,0,0,0,7101
20160811_092401_000.gif,NA,1,0,0,0,7101
20160811_092412_000.gif,NA,1,0,0,0,7101
20160811_092422_000.gif,NA,1,0,0,0,7101
20160811_092433_000.gif,NA,0,0,0,0,7101
20160811_092443_000.gif,NA,0,0,0,0,7101
20160811_092453_000.gif,NA,0,0,0,0,7101
20160811_092506_000.gif,NA,0,0,0,0,7101
20160811_092516_000.gif,NA,1,0,0,0,7101
20160811_092526_000.gif,NA,1,0,0,0,7101
20160811_092538_000.gif,NA,0,0,0,0,7101
20160811_092548_000.gif,NA,1,0,0,0,7101
20160811_092558_000.gif,NA,1,0,0,0,7101
20160811_092611_000.gif,NA,1,0,0,0,7101
20160811_092621_000.gif,NA,1,0,0,0,7101
20160811_092629_000.gif,NA,1,0,0,0,7101
20160811_092639_000.gif,NA,1,0,0,0,7101
20160811_092650_000.gif,NA,1,0,0,0,7101
20160811_092701_000.gif,NA,2,0,0,0,7101
20160811_092711_000.gif,NA,2,0,0,0,7101
20160811_092721_000.gif,NA,0,0,0,0,7101
20160811_092734_000.gif,NA,0,0,0,0,7101
20160811_092744_000.gif,NA,0,0,0,0,7101
20160811_092754_000.gif,NA,0,0,0,0,7101
20160811_092805_000.gif,NA,1,0,0,0,7101
20160811_092815_000.gif,NA,0,0,0,0,7101
20160811_092825_000.gif,NA,1,0,0,0,7101
20160811_092837_000.gif,NA,0,0,0,0,7101
20160811_092847_000.gif,NA,1,0,0,0,7101
20160811_092857_000.gif,NA,1,0,0,0,7101
20160811_092910_000.gif,NA,0,0,0,0,7101
20160811_092920_000.gif,NA,1,0,0,0,7101
20160811_092930_000.gif,NA,1,0,0,0,7101
20160811_092941_000.gif,NA,1,0,0,0,7101
20160811_092951_000.gif,NA,0,0,0,0,7101
