site,sub_num,age,sex,image,exclusion,category,object,object.basic,image_no,hr,min,sec,msec,timestamp,labels_30,labels_60,labels_180,labels_300,labels_600
American,4473,17,F,000025.02.gif,NA,Toy,toy sink,sink,000025.02,0,0,25,2,25002,1,1,1,1,1
American,4473,17,F,000030.03.gif,NA,Toy,toy sink,sink,000030.03,0,0,30,3,30003,1,1,1,1,1
American,4473,17,F,000030.03.gif,NA,Toy,toy snail,snail,000030.03,0,0,30,3,30003,0,0,0,0,0
American,4473,17,F,000035.00.gif,NA,Toy,toy snail,snail,000035.00,0,0,35,0,35000,0,0,0,0,0
American,4473,17,F,000040.01.gif,NA,Toy,toy snail,snail,000040.01,0,0,40,1,40001,0,0,0,0,0
American,4473,17,F,000045.01.gif,NA,Toy,stuffed snowman,snowman,000045.01,0,0,45,1,45001,0,3,3,3,3
American,4473,17,F,000050.02.gif,NA,Toy,stuffed snowman,snowman,000050.02,0,0,50,2,50002,0,3,3,3,3
American,4473,17,F,000055.02.gif,NA,Toy,stuffed snowman,snowman,000055.02,0,0,55,2,55002,0,3,3,3,3
American,4473,17,F,000100.03.gif,NA,Toy,stuffed snowman,snowman,000100.03,0,1,0,3,60003,0,3,3,3,3
American,4473,17,F,000105.03.gif,NA,Toy,stuffed snowman,snowman,000105.03,0,1,5,3,65003,0,1,3,3,3
American,4473,17,F,000110.00.gif,NA,Toy,stuffed snowman,snowman,000110.00,0,1,10,0,70000,0,0,3,3,3
American,4473,17,F,000115.01.gif,NA,Toy,stuffed snowman,snowman,000115.01,0,1,15,1,75001,0,0,3,3,3
American,4473,17,F,000125.02.gif,NA,Toy,stuffed snowman,snowman,000125.02,0,1,25,2,85002,0,0,3,3,3
American,4473,17,F,000130.02.gif,NA,Toy,stuffed snowman,snowman,000130.02,0,1,30,2,90002,0,0,3,3,3
American,4473,17,F,000135.03.gif,NA,Toy,stuffed snowman,snowman,000135.03,0,1,35,3,95003,0,0,3,3,3
American,4473,17,F,000140.03.gif,NA,Toy,stuffed snowman,snowman,000140.03,0,1,40,3,100003,0,0,3,3,3
American,4473,17,F,000145.00.gif,NA,Toy,stuffed snowman,snowman,000145.00,0,1,45,0,105000,0,0,3,3,3
