site,sub_num,age,sex,image,exclusion,category,object,object.basic,image_no,hr,min,sec,msec,timestamp,labels_30,labels_60,labels_180,labels_300,labels_600
American,4473,17,F,000150.01.gif,NA,Toy,stuffed snowman,snowman,000150.01,0,1,50,1,110001,0,0,3,3,3
American,4473,17,F,000155.01.gif,NA,Toy,stuffed dog,dog,000155.01,0,1,55,1,115001,0,0,18,18,18
American,4473,17,F,000200.02.gif,NA,Toy,stuffed dog,dog,000200.02,0,2,0,2,120002,0,0,18,18,18
American,4473,17,F,000205.02.gif,NA,Toy,stuffed dog,dog,000205.02,0,2,5,2,125002,0,0,18,18,18
American,4473,17,F,000210.03.gif,NA,Toy,stuffed dog,dog,000210.03,0,2,10,3,130003,0,0,18,18,18
American,4473,17,F,000215.00.gif,NA,Toy,stuffed dog,dog,000215.00,0,2,15,0,135000,0,0,18,18,18
American,4473,17,F,000220.01.gif,NA,Toy,stuffed dog,dog,000220.01,0,2,20,1,140001,0,0,18,18,18
American,4473,17,F,000225.01.gif,NA,Toy,stuffed dog,dog,000225.01,0,2,25,1,145001,0,0,18,18,18
American,4473,17,F,000230.02.gif,NA,Toy,stuffed dog,dog,000230.02,0,2,30,2,150002,0,0,18,18,18
American,4473,17,F,000235.02.gif,NA,Toy,stuffed dog,dog,000235.02,0,2,35,2,155002,0,0,18,18,18
American,4473,17,F,000240.03.gif,NA,Toy,stuffed dog,dog,000240.03,0,2,40,3,160003,0,0,18,18,18
American,4473,17,F,000245.03.gif,NA,Toy,stuffed dog,dog,000245.03,0,2,45,3,165003,0,0,18,18,18
American,4473,17,F,000250.00.gif,NA,Toy,stuffed dog,dog,000250.00,0,2,50,0,170000,0,0,18,18,18
American,4473,17,F,000255.01.gif,NA,Toy,stuffed dog,dog,000255.01,0,2,55,1,175001,0,0,18,18,18
American,4473,17,F,000305.02.gif,NA,Toy,stuffed dog,dog,000305.02,0,3,5,2,185002,0,0,18,18,18
American,4473,17,F,000310.02.gif,NA,Toy,stuffed dog,dog,000310.02,0,3,10,2,190002,0,0,18,18,18
American,4473,17,F,000315.03.gif,NA,Toy,stuffed dog,dog,000315.03,0,3,15,3,195003,0,0,18,18,18
American,4473,17,F,000320.03.gif,NA,Toy,stuffed dog,dog,000320.03,0,3,20,3,200003,0,0,13,18,18
American,4473,17,F,000325.00.gif,NA,Toy,stuffed dog,dog,000325.00,0,3,25,0,205000,0,0,3,18,18
American,4473,17,F,000330.01.gif,NA,Toy,stuffed dog,dog,000330.01,0,3,30,1,210001,0,0,3,18,18
American,4473,17,F,000335.01.gif,NA,Toy,stuffed dog,dog,000335.01,0,3,35,1,215001,0,0,3,18,18
American,4473,17,F,000345.02.gif,NA,Toy,stuffed dog,dog,000345.02,0,3,45,2,225002,0,0,0,18,18
American,4473,17,F,000350.03.gif,NA,Toy,stuffed dog,dog,000350.03,0,3,50,3,230003,0,0,0,18,18
American,4473,17,F,000405.01.gif,NA,Toy,stuffed penguin,penguin,000405.01,0,4,5,1,245001,0,0,0,11,11
American,4473,17,F,000410.02.gif,NA,Toy,stuffed penguin,penguin,000410.02,0,4,10,2,250002,0,0,0,11,11
American,4473,17,F,000410.02.gif,NA,Toy,stuffed dog,dog,000410.02,0,4,10,2,250002,0,0,0,18,18
American,4473,17,F,000415.02.gif,NA,Toy,stuffed penguin,penguin,000415.02,0,4,15,2,255002,0,0,0,11,11
American,4473,17,F,000415.02.gif,NA,Toy,stuffed dog,dog,000415.02,0,4,15,2,255002,0,0,0,18,18
American,4473,17,F,000420.03.gif,NA,Toy,stuffed penguin,penguin,000420.03,0,4,20,3,260003,0,0,0,11,11
American,4473,17,F,000420.03.gif,NA,Toy,stuffed dog,dog,000420.03,0,4,20,3,260003,0,0,0,18,18
American,4473,17,F,000425.03.gif,NA,Toy,stuffed penguin,penguin,000425.03,0,4,25,3,265003,0,0,0,11,11
American,4473,17,F,000425.03.gif,NA,Toy,stuffed dog,dog,000425.03,0,4,25,3,265003,0,0,0,18,18
American,4473,17,F,000430.00.gif,NA,Toy,stuffed penguin,penguin,000430.00,0,4,30,0,270000,0,0,0,11,11
American,4473,17,F,000430.00.gif,NA,Toy,stuffed dog,dog,000430.00,0,4,30,0,270000,0,0,0,18,18
American,4473,17,F,000435.01.gif,NA,Toy,stuffed penguin,penguin,000435.01,0,4,35,1,275001,0,0,0,11,11
American,4473,17,F,000435.01.gif,NA,Toy,stuffed dog,dog,000435.01,0,4,35,1,275001,0,0,0,18,18
American,4473,17,F,000440.01.gif,NA,Toy,stuffed penguin,penguin,000440.01,0,4,40,1,280001,0,0,0,11,11
American,4473,17,F,000440.01.gif,NA,Toy,stuffed dog,dog,000440.01,0,4,40,1,280001,0,0,0,18,18
American,4473,17,F,000445.02.gif,NA,Toy,stuffed penguin,penguin,000445.02,0,4,45,2,285002,0,0,0,11,11
American,4473,17,F,000445.02.gif,NA,Toy,stuffed dog,dog,000445.02,0,4,45,2,285002,0,0,0,18,18
American,4473,17,F,000450.02.gif,NA,Toy,stuffed penguin,penguin,000450.02,0,4,50,2,290002,0,0,0,11,11
American,4473,17,F,000450.02.gif,NA,Toy,stuffed dog,dog,000450.02,0,4,50,2,290002,0,0,0,18,18
American,4473,17,F,000455.03.gif,NA,Toy,stuffed penguin,penguin,000455.03,0,4,55,3,295003,0,0,0,11,11
American,4473,17,F,000455.03.gif,NA,Toy,stuffed dog,dog,000455.03,0,4,55,3,295003,0,0,0,18,18
American,4473,17,F,000500.03.gif,NA,Toy,stuffed penguin,penguin,000500.03,0,5,0,3,300003,0,0,0,11,11
American,4473,17,F,000500.03.gif,NA,Toy,stuffed dog,dog,000500.03,0,5,0,3,300003,0,0,0,18,18
American,4473,17,F,000505.00.gif,NA,Toy,stuffed penguin,penguin,000505.00,0,5,5,0,305000,0,0,0,11,11
American,4473,17,F,000505.00.gif,NA,Toy,stuffed dog,dog,000505.00,0,5,5,0,305000,0,0,0,18,18
American,4473,17,F,000510.01.gif,NA,Toy,stuffed penguin,penguin,000510.01,0,5,10,1,310001,0,0,0,10,11
American,4473,17,F,000510.01.gif,NA,Toy,stuffed dog,dog,000510.01,0,5,10,1,310001,0,0,0,18,18
American,4473,17,F,000515.01.gif,NA,Toy,stuffed penguin,penguin,000515.01,0,5,15,1,315001,0,0,0,10,11
American,4473,17,F,000515.01.gif,NA,Toy,stuffed dog,dog,000515.01,0,5,15,1,315001,0,0,0,18,18
American,4473,17,F,000520.02.gif,NA,Toy,stuffed penguin,penguin,000520.02,0,5,20,2,320002,0,0,0,10,11
American,4473,17,F,000520.02.gif,NA,Toy,stuffed dog,dog,000520.02,0,5,20,2,320002,0,0,0,13,18
American,4473,17,F,000525.02.gif,NA,Toy,stuffed penguin,penguin,000525.02,0,5,25,2,325002,0,0,0,10,11
American,4473,17,F,000525.02.gif,NA,Toy,stuffed dog,dog,000525.02,0,5,25,2,325002,0,0,0,3,18
American,4473,17,F,000530.03.gif,NA,Toy,stuffed penguin,penguin,000530.03,0,5,30,3,330003,0,0,0,10,11
American,4473,17,F,000530.03.gif,NA,Toy,stuffed dog,dog,000530.03,0,5,30,3,330003,0,0,0,3,18
American,4473,17,F,000535.00.gif,NA,Toy,stuffed penguin,penguin,000535.00,0,5,35,0,335000,0,0,0,10,11
American,4473,17,F,000535.00.gif,NA,Toy,stuffed dog,dog,000535.00,0,5,35,0,335000,0,0,0,3,18
American,4473,17,F,000540.01.gif,NA,Toy,stuffed penguin,penguin,000540.01,0,5,40,1,340001,0,0,0,10,11
American,4473,17,F,000540.01.gif,NA,Toy,stuffed dog,dog,000540.01,0,5,40,1,340001,0,0,0,3,18
American,4473,17,F,000545.01.gif,NA,Toy,stuffed penguin,penguin,000545.01,0,5,45,1,345001,0,0,0,0,11
American,4473,17,F,000545.01.gif,NA,Toy,stuffed dog,dog,000545.01,0,5,45,1,345001,0,0,0,0,18
American,4473,17,F,000550.02.gif,NA,Toy,stuffed penguin,penguin,000550.02,0,5,50,2,350002,0,0,0,0,11
American,4473,17,F,000550.02.gif,NA,Toy,stuffed dog,dog,000550.02,0,5,50,2,350002,0,0,0,0,18
American,4473,17,F,000555.02.gif,NA,Toy,stuffed penguin,penguin,000555.02,0,5,55,2,355002,0,0,0,0,11
American,4473,17,F,000555.02.gif,NA,Toy,stuffed dog,dog,000555.02,0,5,55,2,355002,0,0,0,0,18
American,4473,17,F,000600.03.gif,NA,Toy,stuffed penguin,penguin,000600.03,0,6,0,3,360003,0,0,0,0,11
American,4473,17,F,000600.03.gif,NA,Toy,stuffed dog,dog,000600.03,0,6,0,3,360003,0,0,0,0,18
American,4473,17,F,000605.03.gif,NA,Toy,stuffed penguin,penguin,000605.03,0,6,5,3,365003,0,0,0,0,11
American,4473,17,F,000605.03.gif,NA,Toy,stuffed dog,dog,000605.03,0,6,5,3,365003,0,0,0,0,18
American,4473,17,F,000610.00.gif,NA,Toy,stuffed penguin,penguin,000610.00,0,6,10,0,370000,0,0,0,0,11
American,4473,17,F,000610.00.gif,NA,Toy,stuffed dog,dog,000610.00,0,6,10,0,370000,0,0,0,0,18
American,4473,17,F,000615.01.gif,NA,Toy,stuffed penguin,penguin,000615.01,0,6,15,1,375001,0,0,0,0,11
American,4473,17,F,000615.01.gif,NA,Toy,stuffed dog,dog,000615.01,0,6,15,1,375001,0,0,0,0,18
American,4473,17,F,000625.02.gif,NA,ToolWork,tissue,tissue,000625.02,0,6,25,2,385002,0,0,0,0,3
American,4473,17,F,000630.02.gif,NA,ToolWork,tissue,tissue,000630.02,0,6,30,2,390002,0,0,0,0,3
American,4473,17,F,000635.03.gif,NA,ToolWork,tissue,tissue,000635.03,0,6,35,3,395003,0,0,0,0,3
American,4473,17,F,000640.03.gif,NA,ToolWork,tissue,tissue,000640.03,0,6,40,3,400003,0,0,0,0,3
American,4473,17,F,000645.00.gif,NA,ToolWork,tissue,tissue,000645.00,0,6,45,0,405000,0,0,0,0,3
American,4473,17,F,000650.01.gif,NA,ToolWork,tissue,tissue,000650.01,0,6,50,1,410001,0,0,0,0,3
American,4473,17,F,000700.02.gif,NA,Toy,stuffed dog,dog,000700.02,0,7,0,2,420002,0,0,0,0,18
American,4473,17,F,000705.02.gif,NA,Toy,stuffed dog,dog,000705.02,0,7,5,2,425002,0,0,0,0,18
American,4473,17,F,000710.03.gif,NA,Toy,stuffed dog,dog,000710.03,0,7,10,3,430003,0,0,0,0,18
American,4473,17,F,000715.00.gif,NA,Toy,stuffed dog,dog,000715.00,0,7,15,0,435000,0,0,0,0,18
American,4473,17,F,000720.01.gif,NA,Toy,stuffed dog,dog,000720.01,0,7,20,1,440001,0,0,0,0,18
American,4473,17,F,000725.01.gif,NA,Toy,stuffed dog,dog,000725.01,0,7,25,1,445001,0,0,0,0,18
American,4473,17,F,000725.01.gif,NA,Toy,stuffed snowman,snowman,000725.01,0,7,25,1,445001,0,0,0,0,3
American,4473,17,F,000730.02.gif,NA,Toy,stuffed dog,dog,000730.02,0,7,30,2,450002,0,0,0,0,18
American,4473,17,F,000730.02.gif,NA,Toy,stuffed penguin,penguin,000730.02,0,7,30,2,450002,0,0,0,0,11
American,4473,17,F,000730.02.gif,NA,Toy,stuffed snowman,snowman,000730.02,0,7,30,2,450002,0,0,0,0,3
American,4473,17,F,000735.02.gif,NA,Toy,stuffed dog,dog,000735.02,0,7,35,2,455002,0,0,0,0,18
American,4473,17,F,000735.02.gif,NA,Toy,stuffed snowman,snowman,000735.02,0,7,35,2,455002,0,0,0,0,3
American,4473,17,F,000735.02.gif,NA,Toy,stuffed penguin,penguin,000735.02,0,7,35,2,455002,0,0,0,0,11
American,4473,17,F,000740.03.gif,NA,Toy,stuffed dog,dog,000740.03,0,7,40,3,460003,0,0,0,0,18
American,4473,17,F,000740.03.gif,NA,Toy,stuffed penguin,penguin,000740.03,0,7,40,3,460003,0,0,0,0,11
American,4473,17,F,000740.03.gif,NA,Toy,stuffed snowman,snowman,000740.03,0,7,40,3,460003,0,0,0,0,3
American,4473,17,F,000745.03.gif,NA,Toy,stuffed dog,dog,000745.03,0,7,45,3,465003,0,0,0,0,18
American,4473,17,F,000745.03.gif,NA,Toy,stuffed snowman,snowman,000745.03,0,7,45,3,465003,0,0,0,0,3
American,4473,17,F,000745.03.gif,NA,Toy,stuffed penguin,penguin,000745.03,0,7,45,3,465003,0,0,0,0,11
American,4473,17,F,000750.00.gif,NA,Clothing,shirt,shirt,000750.00,0,7,50,0,470000,0,0,0,0,1
American,4473,17,F,000820.03.gif,NA,Toy,stuffed dog,dog,000820.03,0,8,20,3,500003,0,0,0,0,18
American,4473,17,F,000820.03.gif,NA,Toy,stuffed penguin,penguin,000820.03,0,8,20,3,500003,0,0,0,0,11
American,4473,17,F,000825.00.gif,NA,Toy,stuffed dog,dog,000825.00,0,8,25,0,505000,0,0,0,0,18
American,4473,17,F,000825.00.gif,NA,Toy,stuffed penguin,penguin,000825.00,0,8,25,0,505000,0,0,0,0,11
American,4473,17,F,000830.01.gif,NA,Toy,stuffed dog,dog,000830.01,0,8,30,1,510001,0,0,0,0,18
American,4473,17,F,000830.01.gif,NA,Toy,stuffed penguin,penguin,000830.01,0,8,30,1,510001,0,0,0,0,11
American,4473,17,F,000845.02.gif,NA,Toy,stuffed dog,dog,000845.02,0,8,45,2,525002,0,0,0,0,18
American,4473,17,F,000850.03.gif,NA,Toy,stuffed dog,dog,000850.03,0,8,50,3,530003,0,0,0,0,18
American,4473,17,F,000855.00.gif,NA,Toy,stuffed dog,dog,000855.00,0,8,55,0,535000,0,0,0,0,18
American,4473,17,F,000900.01.gif,NA,Toy,stuffed dog,dog,000900.01,0,9,0,1,540001,0,0,0,0,18
American,4473,17,F,000905.01.gif,NA,Toy,stuffed dog,dog,000905.01,0,9,5,1,545001,0,0,0,0,18
American,4473,17,F,000910.02.gif,NA,Toy,stuffed dog,dog,000910.02,0,9,10,2,550002,0,0,0,0,18
American,4473,17,F,000915.02.gif,NA,Toy,stuffed dog,dog,000915.02,0,9,15,2,555002,0,0,0,0,18
American,4473,17,F,000920.03.gif,NA,Toy,stuffed dog,dog,000920.03,0,9,20,3,560003,0,0,0,0,18
American,4473,17,F,000930.00.gif,NA,Toy,stuffed dog,dog,000930.00,0,9,30,0,570000,0,0,0,0,18
American,4473,17,F,000935.01.gif,NA,Toy,stuffed penguin,penguin,000935.01,0,9,35,1,575001,0,0,0,0,11
American,4473,17,F,000940.01.gif,NA,Toy,stuffed penguin,penguin,000940.01,0,9,40,1,580001,0,0,0,0,11
American,4473,17,F,000945.02.gif,NA,Toy,stuffed dog,dog,000945.02,0,9,45,2,585002,0,0,0,0,18
American,4473,17,F,000950.02.gif,NA,Toy,stuffed penguin,penguin,000950.02,0,9,50,2,590002,0,0,0,0,11
American,4473,17,F,000955.03.gif,NA,Toy,stuffed penguin,penguin,000955.03,0,9,55,3,595003,0,0,0,0,11
American,4473,17,F,001000.03.gif,NA,Toy,stuffed penguin,penguin,001000.03,0,10,0,3,600003,0,0,0,0,11
American,4473,17,F,001005.00.gif,NA,Toy,stuffed penguin,penguin,001005.00,0,10,5,0,605000,0,0,0,0,11
American,4473,17,F,001010.01.gif,NA,Toy,stuffed penguin,penguin,001010.01,0,10,10,1,610001,0,0,0,0,10
American,4473,17,F,001015.01.gif,NA,Toy,stuffed penguin,penguin,001015.01,0,10,15,1,615001,0,0,0,0,10
American,4473,17,F,001025.02.gif,NA,Toy,stuffed penguin,penguin,001025.02,0,10,25,2,625002,0,0,0,0,10
American,4473,17,F,001040.01.gif,NA,Toy,toy teapot,pot,001040.01,0,10,40,1,640001,0,0,0,0,0
American,4473,17,F,001045.01.gif,NA,Toy,toy teapot,pot,001045.01,0,10,45,1,645001,0,0,0,0,0
American,4473,17,F,001045.01.gif,NA,Toy,toy picnic basket,basket,001045.01,0,10,45,1,645001,0,0,0,0,0
American,4473,17,F,001050.02.gif,NA,Toy,toy teapot,pot,001050.02,0,10,50,2,650002,0,0,0,0,0
American,4473,17,F,001050.02.gif,NA,Toy,toy cheese and crackers,cracker,001050.02,0,10,50,2,650002,0,0,0,0,0
American,4473,17,F,001055.02.gif,NA,Toy,toy teapot,pot,001055.02,0,10,55,2,655002,0,0,0,0,0
American,4473,17,F,001100.03.gif,NA,Toy,toy teapot,pot,001100.03,0,11,0,3,660003,0,0,0,0,0
American,4473,17,F,001100.03.gif,NA,Toy,toy plate,plate,001100.03,0,11,0,3,660003,0,0,0,0,0
American,4473,17,F,001105.03.gif,NA,Toy,toy orange,orange,001105.03,0,11,5,3,665003,0,0,0,0,0
American,4473,17,F,001110.00.gif,NA,Toy,toy cheese and crackers,cracker,001110.00,0,11,10,0,670000,0,0,0,0,0
American,4473,17,F,001115.01.gif,NA,Toy,toy cheese and crackers,cracker,001115.01,0,11,15,1,675001,0,0,0,0,0
American,4473,17,F,001115.01.gif,NA,Toy,toy plate,plate,001115.01,0,11,15,1,675001,0,0,0,0,0
American,4473,17,F,001120.01.gif,NA,Toy,toy orange,orange,001120.01,0,11,20,1,680001,0,0,0,0,0
American,4473,17,F,001120.01.gif,NA,Toy,toy plate,plate,001120.01,0,11,20,1,680001,0,0,0,0,0
American,4473,17,F,001120.01.gif,NA,Toy,toy cheese and crackers,cracker,001120.01,0,11,20,1,680001,0,0,0,0,0
American,4473,17,F,001125.02.gif,NA,Toy,toy orange,orange,001125.02,0,11,25,2,685002,0,0,0,0,0
American,4473,17,F,001125.02.gif,NA,Toy,toy cheese and crackers,cracker,001125.02,0,11,25,2,685002,0,0,0,0,0
American,4473,17,F,001125.02.gif,NA,Toy,toy plate,plate,001125.02,0,11,25,2,685002,0,0,0,0,0
American,4473,17,F,001130.02.gif,NA,Toy,toy plate,plate,001130.02,0,11,30,2,690002,0,0,0,0,0
American,4473,17,F,001130.02.gif,NA,Toy,toy cheese and crackers,cracker,001130.02,0,11,30,2,690002,0,0,0,0,0
American,4473,17,F,001135.03.gif,NA,Toy,toy plate,plate,001135.03,0,11,35,3,695003,0,0,0,0,0
American,4473,17,F,001135.03.gif,NA,Toy,toy cheese and crackers,cracker,001135.03,0,11,35,3,695003,0,0,0,0,0
American,4473,17,F,001140.03.gif,NA,Toy,toy plate,plate,001140.03,0,11,40,3,700003,0,0,0,0,0
American,4473,17,F,001140.03.gif,NA,Toy,toy cheese and crackers,cracker,001140.03,0,11,40,3,700003,0,0,0,0,0
American,4473,17,F,001145.00.gif,NA,Toy,toy cheese and crackers,cracker,001145.00,0,11,45,0,705000,0,0,0,0,0
American,4473,17,F,001145.00.gif,NA,Toy,toy plate,plate,001145.00,0,11,45,0,705000,0,0,0,0,0
American,4473,17,F,001145.00.gif,NA,Toy,toy orange,orange,001145.00,0,11,45,0,705000,0,0,0,0,0
American,4473,17,F,001150.01.gif,NA,Toy,toy cheese and crackers,cracker,001150.01,0,11,50,1,710001,0,0,0,0,0
American,4473,17,F,001150.01.gif,NA,Toy,toy orange,orange,001150.01,0,11,50,1,710001,0,0,0,0,0
American,4473,17,F,001150.01.gif,NA,Toy,toy plate,plate,001150.01,0,11,50,1,710001,0,0,0,0,0
American,4473,17,F,001155.01.gif,NA,Toy,toy cheese and crackers,cracker,001155.01,0,11,55,1,715001,0,0,0,0,0
American,4473,17,F,001155.01.gif,NA,Toy,toy plate,plate,001155.01,0,11,55,1,715001,0,0,0,0,0
American,4473,17,F,001155.01.gif,NA,Toy,toy orange,orange,001155.01,0,11,55,1,715001,0,0,0,0,0
American,4473,17,F,001200.02.gif,NA,Toy,toy cheese and crackers,cracker,001200.02,0,12,0,2,720002,0,0,0,0,0
American,4473,17,F,001200.02.gif,NA,Toy,toy orange,orange,001200.02,0,12,0,2,720002,0,0,0,0,0
American,4473,17,F,001200.02.gif,NA,Toy,toy plate,plate,001200.02,0,12,0,2,720002,0,0,0,0,0
American,4473,17,F,001205.02.gif,NA,Toy,toy cheese and crackers,cracker,001205.02,0,12,5,2,725002,0,0,0,0,0
American,4473,17,F,001205.02.gif,NA,Toy,toy plate,plate,001205.02,0,12,5,2,725002,0,0,0,0,0
American,4473,17,F,001205.02.gif,NA,Toy,toy orange,orange,001205.02,0,12,5,2,725002,0,0,0,0,0
American,4473,17,F,001210.03.gif,NA,Toy,toy cheese and crackers,cracker,001210.03,0,12,10,3,730003,0,0,0,0,0
American,4473,17,F,001210.03.gif,NA,Toy,toy orange,orange,001210.03,0,12,10,3,730003,0,0,0,0,0
American,4473,17,F,001210.03.gif,NA,Toy,toy plate,plate,001210.03,0,12,10,3,730003,0,0,0,0,0
American,4473,17,F,001215.00.gif,NA,Toy,toy cheese and crackers,cracker,001215.00,0,12,15,0,735000,0,0,0,0,0
American,4473,17,F,001215.00.gif,NA,Toy,toy plate,plate,001215.00,0,12,15,0,735000,0,0,0,0,0
American,4473,17,F,001215.00.gif,NA,Toy,toy orange,orange,001215.00,0,12,15,0,735000,0,0,0,0,0
American,4473,17,F,001220.01.gif,NA,Toy,toy cheese and crackers,cracker,001220.01,0,12,20,1,740001,0,0,0,0,0
American,4473,17,F,001220.01.gif,NA,Toy,toy orange,orange,001220.01,0,12,20,1,740001,0,0,0,0,0
American,4473,17,F,001220.01.gif,NA,Toy,toy plate,plate,001220.01,0,12,20,1,740001,0,0,0,0,0
American,4473,17,F,001225.01.gif,NA,Toy,toy cheese and crackers,cracker,001225.01,0,12,25,1,745001,0,0,0,0,0
American,4473,17,F,001225.01.gif,NA,Toy,toy plate,plate,001225.01,0,12,25,1,745001,0,0,0,0,0
American,4473,17,F,001225.01.gif,NA,Toy,toy orange,orange,001225.01,0,12,25,1,745001,0,0,0,0,0
American,4473,17,F,001230.02.gif,NA,Toy,toy plate,plate,001230.02,0,12,30,2,750002,0,0,0,0,0
American,4473,17,F,001230.02.gif,NA,Toy,toy orange,orange,001230.02,0,12,30,2,750002,0,0,0,0,0
American,4473,17,F,001235.02.gif,NA,Toy,toy plate,plate,001235.02,0,12,35,2,755002,0,0,0,0,0
American,4473,17,F,001235.02.gif,NA,Toy,toy cheese and crackers,cracker,001235.02,0,12,35,2,755002,0,0,0,0,0
American,4473,17,F,001235.02.gif,NA,Toy,toy orange,orange,001235.02,0,12,35,2,755002,0,0,0,0,0
American,4473,17,F,001240.03.gif,NA,Toy,toy orange,orange,001240.03,0,12,40,3,760003,0,0,0,0,0
American,4473,17,F,001240.03.gif,NA,Toy,toy plate,plate,001240.03,0,12,40,3,760003,0,0,0,0,0
American,4473,17,F,001245.03.gif,NA,Toy,toy orange,orange,001245.03,0,12,45,3,765003,0,0,0,0,0
American,4473,17,F,001245.03.gif,NA,Toy,toy plate,plate,001245.03,0,12,45,3,765003,0,0,0,0,0
American,4473,17,F,001250.00.gif,NA,Toy,toy orange,orange,001250.00,0,12,50,0,770000,0,0,0,0,0
American,4473,17,F,001250.00.gif,NA,Toy,toy plate,plate,001250.00,0,12,50,0,770000,0,0,0,0,0
American,4473,17,F,001255.01.gif,NA,Toy,toy plate,plate,001255.01,0,12,55,1,775001,0,0,0,0,0
American,4473,17,F,001300.01.gif,NA,Toy,stuffed dog,dog,001300.01,0,13,0,1,780001,0,0,0,0,0
American,4473,17,F,001305.02.gif,NA,Toy,toy dog food bowl,bowl,001305.02,0,13,5,2,785002,0,0,0,0,0
American,4473,17,F,001315.03.gif,NA,Toy,toy orange,orange,001315.03,0,13,15,3,795003,0,0,0,0,0
American,4473,17,F,001320.03.gif,NA,Toy,toy orange,orange,001320.03,0,13,20,3,800003,0,0,0,0,0
American,4473,17,F,001325.00.gif,NA,Toy,toy orange,orange,001325.00,0,13,25,0,805000,0,0,0,0,0
American,4473,17,F,001325.00.gif,NA,Toy,stuffed dog,dog,001325.00,0,13,25,0,805000,0,0,0,0,0
American,4473,17,F,001330.01.gif,NA,Toy,toy orange,orange,001330.01,0,13,30,1,810001,0,0,0,0,0
American,4473,17,F,001330.01.gif,NA,Toy,stuffed dog,dog,001330.01,0,13,30,1,810001,0,0,0,0,0
American,4473,17,F,001335.01.gif,NA,Toy,toy orange,orange,001335.01,0,13,35,1,815001,0,0,0,0,0
American,4473,17,F,001335.01.gif,NA,Toy,stuffed dog,dog,001335.01,0,13,35,1,815001,0,0,0,0,0
American,4473,17,F,001340.02.gif,NA,Toy,toy orange,orange,001340.02,0,13,40,2,820002,0,0,0,0,0
American,4473,17,F,001340.02.gif,NA,Toy,stuffed dog,dog,001340.02,0,13,40,2,820002,0,0,0,0,0
American,4473,17,F,001350.03.gif,NA,Toy,toy picnic basket,basket,001350.03,0,13,50,3,830003,0,0,0,0,0
American,4473,17,F,001355.00.gif,NA,Toy,toy picnic basket,basket,001355.00,0,13,55,0,835000,0,0,0,0,0
American,4473,17,F,001400.01.gif,NA,Toy,toy picnic basket,basket,001400.01,0,14,0,1,840001,0,0,0,0,0
American,4473,17,F,001415.02.gif,NA,Toy,toy placemat,placemat,001415.02,0,14,15,2,855002,0,0,0,0,0
American,4473,17,F,001420.03.gif,NA,Toy,toy plate,plate,001420.03,0,14,20,3,860003,0,0,0,0,0
American,4473,17,F,001425.03.gif,NA,Toy,toy biscuit,biscuit,001425.03,0,14,25,3,865003,0,0,0,0,0
American,4473,17,F,001430.00.gif,NA,Toy,toy biscuit,biscuit,001430.00,0,14,30,0,870000,0,0,0,0,0
American,4473,17,F,001435.01.gif,NA,Toy,toy biscuit,biscuit,001435.01,0,14,35,1,875001,0,0,0,0,0
American,4473,17,F,001440.01.gif,NA,Toy,toy biscuit,biscuit,001440.01,0,14,40,1,880001,0,0,0,0,0
American,4473,17,F,001445.02.gif,NA,Toy,toy biscuit,biscuit,001445.02,0,14,45,2,885002,0,0,0,0,0
