Object,object.corrected,check.again,viewed.image,from.reliability,comments,
cracker,cracker,0,0,0,,
gas canister,gas canister,0,0,0,,
net,hammock,0,1,0,switched some to fishnet and yarn,
comb,comb,0,0,0,,
pear,pear,0,0,0,,
breastmilk,milk,0,0,0,,
metal pot,pot,0,0,0,,
skirt,skirt,0,0,0,,
yellow stuffed animal,stuffed animal,0,1,0,,
corn kernels,corn,0,0,0,,
lime,lime,0,0,0,,
baby bathtub,baby bathtub,0,0,0,,
baked good,bread,0,1,0,fixed a bunch in corrections.csv,
bean,bean,0,0,0,,
bread,bread,0,1,0,,
marble,marble,0,0,0,,
camera,camera,0,0,0,,
house pile,house pile,0,0,0,,
stuffed animal,stuffed animal,0,1,0,decided to collapse for now - we should probably return to these in a second pass,
wind up toy,wind up toy,0,0,0,,
wooden stick,stick,0,1,0,"switched a bunch to sugar cane, tongs, or tool in corrections.csv",
water bottle,reusable water bottle,0,1,0,"made distinctions between reusable water bottle (M), bottled water that's full/child is actively drinking (F), empty drink bottle (S), added to corrections.csv",
bottle of milk,"baby bottle, milk",0,1,0,,
beans,bean,0,0,0,,
peanut,peanut,0,0,0,,
bag,purse,0,1,0,possibly some other distinctions,
grass,grass,0,0,0,,
chair,chair,0,0,0,,
red car,toy car,0,1,0,,
tree,tree,0,0,0,,
lotion,lotion,0,0,0,,
belt,belt,0,0,0,,
bottle cap,bottle,0,0,0,,
leafy green,leafy green,0,0,0,,
corn,corn,0,0,0,,
rice,rice,0,0,0,,
pants,pants,0,0,0,,
bucket,bucket,0,0,0,,
table,table,0,0,0,,
sippy cup,baby bottle,0,1,0,baby bottles/sippy cups grouped together,
string,string,0,1,0,corrected some,
misc plastic,plastic packaging,0,1,0,,
toothbrush,toothbrush,0,0,0,,
blanket,blanket,0,0,0,,
bean soup,bean soup,0,0,0,,
blue action figure,action figure,0,0,0,,
tongs,tongs,0,1,0,,
fruit,fruit (unknown variety),1,0,0,,
bottle,NA,0,1,0,added to corrections.csv,
red object,NA,0,1,0,,
embroidery ring,embroidery ring,0,0,0,,
shorts,shorts,0,0,0,,
plant,plant,0,0,0,,
popsicle,popsicle,0,0,0,,
paper,paper,0,0,0,,
tortilla,tortilla,0,0,0,,
sugar cane,sugar cane,0,0,0,,
blue rope,swing,0,1,0,,
cup,cup,0,1,0,,
bean pod,bean,0,0,0,,
plastic bag,plastic bag,0,1,0,added some to corrections.csv,
cookie,cookie,0,0,0,,
turtle,turtle,0,0,0,,
flower,flower,0,0,0,,
money,money,0,0,0,,
papaya,papaya,0,0,0,,
packaged candy,candy,0,0,0,,
guava,guava,0,0,0,,
dirt,dirt,0,0,0,,
toy car,toy car,0,0,0,,
guitar,guitar,0,0,0,,
milk,milk,0,0,0,,
woven basket,woven basket,0,0,0,,
shoe,shoe,0,0,0,,
misc container,container,0,0,0,,
nut,nut,0,0,0,,
paintbrush,paintbrush,0,0,0,,
cotton debris,cotton debris,0,0,0,,
plastic bottle,plastic bottle,0,1,0,"made distinctions between reusable water bottle (M), bottled water that's full/child is actively drinking (F), empty drink bottle (S), added to corrections.csv",
floor,floor,0,1,0,,
phone,phone,0,0,0,,
candy,candy,0,0,0,,
food,NA,0,1,0,added to corrections.csv,
hammock,hammock,0,0,0,,
bowl,bowl,0,0,0,,
vest,vest,0,0,0,,
rope,rope,0,0,0,,
stairs,stairs,0,0,0,,
chips,chips,0,1,0,,
veranda,veranda,0,1,0,,
detergent,detergent,0,0,0,,
coconut,coconut,0,0,0,,
shirt,shirt,0,0,0,,
rock,rock,0,0,0,,
broom bristle,broom,0,0,0,,
book,book,0,1,0,maybe need distinction between children's books and others,
spoon,spoon,0,0,0,,
banana,banana,0,0,0,,
betelnut,betelnut,0,0,0,,
sago,sago,0,0,0,,
fruit (unknown variety),fruit,1,0,0,add numbers for different varieties,
tuber,tuber,0,0,0,,
wall,wall,0,0,0,,
sugarcane,sugar cane,0,0,0,,
leaf,leaf,0,0,0,,
ball,ball,0,0,0,,
camera lens,camera,0,0,0,,
stick,stick,0,0,0,,
seafood,seafood,0,0,0,,
knife-M,knife-M,0,0,0,,
knife-W,knife-W,0,0,0,,
fishing debris,fishing debris,0,0,0,,
red flower,flower,0,0,1,,
black fabric,fabric,0,0,1,,
purple comb,comb,0,0,1,,
pruple comb,comb,0,0,1,,
white object,NA,0,1,1,added to corrections.csv,
bamboo,bamboo,1,1,1,,
railing,veranda,1,1,1,,
building,veranda,1,1,1,,
bowl with seafood,pot,1,1,1,,
dried palm leaf,leaf,0,0,1,,
toy building block,sandcastle mold,0,1,1,,
stick? leaf?,leaf,0,1,1,,
plastic turtle,toy turtle,0,0,1,,
cereal box,cereal,0,0,1,,
tree bark,bark,0,0,1,,
plantain,banana,0,0,1,,
tree trunks,tree,0,1,1,,
bundle of palm leaves,leaf,1,1,1,,
rice bag,ball,1,1,1,,
plastic thing,plastic,1,1,1,,
marbles,marble,0,0,1,,
cloth? pillow?,pillow,0,1,1,,
bag clip,plastic clip,0,1,1,,
machete,knife-W,0,1,1,,
woven grass,rice ball,0,1,1,,
reeds,broom,0,1,1,,
succulent plant,plant,0,0,1,,
beam,walking support,0,1,1,,
sewing needle,knitting needle,0,0,1,,
red toy car,toy car,0,0,1,,
shirts,shirt,0,0,1,,
red toy truck,toy car,0,0,1,,
unknown food,NA,0,1,1,added to corrections.csv,
window shutters,blinds,0,0,1,,
window shutter,blinds,0,0,1,,
yellow cable,wire,0,1,1,,
coloumn,pillar,0,0,1,,
bush,plant,0,1,1,,
plastic straw,drinking straw,0,0,1,,
sash,sash,0,1,1,,
plastic tubing,plastic tubing,0,0,1,,
window ledge,wall,0,0,1,,
orange soda bottle,soda,0,1,1,,
metal sheet,metal fragment,0,0,1,,
crayons,crayon,0,0,1,,
white chair,chair,0,0,1,,
white table leg,table,0,0,1,,
glass bottle,empty drink bottle,0,1,1,,
wooden slate,wood slat,0,0,1,,
blue toy,action figure,0,1,1,,
blue fabric,fabric,0,0,1,,
red stuffed bear,srtuffed animal,0,0,1,,
metal rod,rebar,0,0,1,,
bottle of juice,juice,0,0,1,,
black car,toy car,0,1,1,,
blue ball,ball,0,0,1,,
wooden floor,NA,0,0,1,added to corrections.csv,
purple bubble blowing wand,bubble wand,0,0,1,,
deflated yellow ball,ball,0,0,1,,
rubber ring,rubber fragment,0,0,1,,
black object,NA,0,0,1,added to corrections.csv,
robot,toy robot,0,0,1,,
food container,NA,0,0,1,added to corrections.csv or unsure-objects.csv,
window blinds,blinds,0,0,1,,
stuffed squirrel,stuffed animal,0,0,1,,
blue robot man,toy robot,0,0,1,,
brown action figure,action figure,0,0,1,,
stuffed bear,teddy bear,0,0,1,,
toy bear,stuffed animal,0,0,1,,
red action figure,action figure,0,0,1,,
yellow stuffed bear,stuffed animal,0,0,1,,
rice puffs,chips,0,0,1,,
tortilla wrap,tortilla,0,0,1,,
plastic soda bottle cap,bottle cap,0,0,1,,
twig,stick,0,0,1,,
bun,bread,0,0,1,,
colomn,pillar,0,0,1,,
window bars,window,0,0,1,,
food packaging,packaged snack,0,0,1,,
bean pond,bean,0,0,1,,
wooden disc,wood disc,0,0,1,,
container of rice puffs,chips,0,0,1,,
plastic bag of rice puffs,"plastic bag, chips",0,0,1,,
chip bag,chips,0,0,1,,
wooden discs,wood disc,0,0,1,,
flowers,flower,0,0,1,,
wire fence,fence,0,0,1,,
yellow and orange rattle,rattle,0,0,1,,
wheelbarrow tire,wheelbarrow,0,0,1,,
foam crate,crate,0,0,1,,
green bucket,bucket,0,0,1,,
short,shorts,0,0,1,,
metal crowbar,rebar,0,0,1,,
radio,stereo,0,0,1,,
orange car,toy car,0,0,1,,
gauava,guava,0,0,1,,
stick\,stick,0,0,1,,
ornage tube,plastic tubing,0,0,1,,
paint roller,paint roller,0,0,1,,
orange tube,plastic tubing,0,0,1,,
white bag,bulk food bag,0,1,1,,
plastic water bottle,bottled water,0,1,1,,
bulk food bag,bulk food bag,0,0,1,,
reusable water bottle,reusable water bottle,0,0,1,,
rubber fragment,rubber fragment,0,0,1,,
pillow,pillow,0,0,1,,
facet,sink,0,1,1,,
long curved object,rubber fragment,0,1,1,,
metal sticks,rebar,0,1,1,,
black wire,wire,0,1,1,,
black basket,plastic basket,0,1,1,,
wooden house fram,chair,0,1,1,,
drink,soda,0,1,1,,
shears,shovel,0,1,1,,
trowel,shovel,0,1,1,,
concrete floor (patio edge),patio edge,0,0,1,,
flooor,floor,0,0,0,,
drainage tube,drainage tube,0,0,0,,
coconut water,coconut water,0,0,0,,
TV,television,0,0,0,,
orange,orange,0,0,0,,
bottled water,bottled water,0,0,0,,
trashbin,trash bin,0,0,0,,
wheelbarrow handle,wheelbarrow,0,0,0,,
tuber peel,tuber,0,0,0,,
bed frame,bed,0,0,0,,
leafy greens,leafy green,0,0,0,,
tortillas,tortilla,0,0,0,,
bedding,blanket,0,1,0,,
mathbox,matches,0,1,0,,
plastic shard,plastic fragment,0,1,0,,
matches,matches,0,0,0,,
