Object,object.corrected,check.again,viewed.image,from.reliability,comments,
tassle,tassel,0,0,0,,
tin contianer,tin container,0,0,0,,
top,NA,0,1,0,,
trash basket (full of tuber peels/coconut shards/betelnut trash),trash,0,1,0,,
tv,television,0,1,0,,
unprocessed wooden stick,stick,0,1,0,,
visor,hat,0,0,0,,
wheel barrow wheel,wheelbarrow,0,0,0,,
white bottle,NA,0,1,0,added to corrections.csv,
white bowl,bowl,0,0,0,,
white container,NA,0,1,0,added to corrections.csv,
white net,NA,0,1,0,added to corrections.csv,
white object/fabric,NA,0,1,0,added to corrections.csv,
white plastic bag,plastic bag,0,0,0,,
white toy,NA,0,1,0,added to corrections.csv,
wood log,log,0,1,0,,
wooden  stick,stick,0,1,0,,
wooden chiar,chair,0,0,0,,
wooden curtains,blinds,0,0,0,,
wooden door,door,0,0,0,,
wooden ladder,NA,0,1,0,added to corrections.csv,
wooden railing,NA,0,1,0,,
wooden slats,wood slat,0,1,0,,
woven bag,purse,0,1,0,,
yellow cup,cup,0,1,0,,
yellow teletubbie,teletubby toy,0,0,0,,
animal slap bracelet,animal slap bracelet,0,0,0,,
babydool,doll,0,0,0,,
barbie doll,doll,0,0,0,,
bean pods,bean,0,0,0,,
black boot,shoe,0,0,0,,
blankets,blanket,0,0,0,,
blue bin,bucket,0,1,0,,
blue sling,baby sling,0,0,0,,
Body parts are not coded as held objects,NA,0,0,0,added to corrections.csv,
Body parts cannot be coded as held objects,NA,0,0,0,added to corrections.csv,
bottled beverage,NA,0,1,0,added to corrections.csv,
bottled drink,NA,0,1,0,added to corrections.csv,
bowl containing food/drink (unclear exact object),NA,0,1,0,,
bowl of rice,NA,0,1,0,added to corrections.csv,
brick,brick,0,1,0,,
brush,brush,0,0,0,,
cacao pod,cacao,0,0,0,,
can,NA,0,1,0,added to corrections.csv,
canteen,NA,NA,NA,0,,
chip,chips,0,0,0,,
coke bottle,NA,0,1,0,added to corrections.csv,
compact mirror,mirror,0,0,0,,
concrete flooring,NA,0,1,0,added to corrections.csv,
corn kernel,corn,0,0,0,,
dirt pavement,gravel,0,1,0,,
gate,NA,0,1,0,,
jean jacket,jacket,0,0,0,,
jewelry,bracelet,0,1,0,,
knit tote bag,purse,0,1,0,,
large white fabric,bed sheet,0,1,0,,
large wooden log,canoe,0,1,0,,
laundry detergent,detergent,0,0,0,,
lid of container,container lid,0,0,0,,
meat bone,meat bone,0,1,0,,
metal clip,metal clip,0,1,0,,
metal lid,pot,0,1,0,,
orange toy,sandcastle mold,0,1,0,,
patio edge,patio edge,1,1,0,,
picture book,book,0,1,0,,
pink paper,book,0,1,0,workbook,
planting pot,plant pot,0,1,0,,
plastic brush,scrub brush,0,1,0,,
plastic cap,bottle cap,0,0,0,,
plastic container (probably containing lime),container,1,0,0,,
plastic cup,cup,0,1,0,,
plastic rice bag on string,weight,1,0,0,,
plastic strips,ribbon,1,0,0,,
plastic toy,NA,0,1,0,added to corrections.csv,
pocket knife,knife-W,1,1,0,,
pointed wooden stick,stick,0,1,0,,
pot cover,pot,0,1,0,,
purple toy,NA,0,1,0,added to corrections.csv,
red plastic bag,plastic bag,0,1,0,,
seafood in bowl,NA,NA,NA,0,,
sharpened stick,stick,0,0,0,,
shawl,NA,0,1,0,added to corrections.csv,
shoelace,shoelace,0,0,0,,
soap,soap,0,0,0,,
spatula,spatula,0,1,0,,
stuffed animal baby doll,doll,0,0,0,,
tall grass,plant,0,1,0,,
tin foil,tin foil,0,0,0,,
toy bird,toy bird,0,0,0,,
toy lamb,toy lamb,0,0,0,,
trash basket,NA,0,1,0,added to corrections.csv,
trash bin,trash bin,0,1,0,,
vick's vaporub,vick's vapor rub,0,1,0,,
water bottle lid,reusable water bottle,0,1,0,,
weight,NA,0,1,0,,
white bucket,bucket,0,0,0,,
white cup,cup,0,1,0,,
white fabric,burlap,1,0,0,,
wood beam,floor,1,1,0,MC check for immovable,
wood scrappings,wood shavings,0,1,0,,
wood table,table,0,0,0,,
wooden bench,bench,0,1,0,switched some to chair,
wooden plank,wood slat,0,1,0,,
wooden support,NA,0,1,0,"switched to floor/house pile, added to corrections.csv",
wooden wall,wall,0,1,0,,
yellow object,NA,0,1,0,added to corrections.csv,
yellow package,NA,0,1,0,added to corrections.csv,
yellow wind-up toy,wind up toy,0,0,0,,
avacado pit,ball,1,0,0,"could be another synthetic object, definitely not avocado pit",
bag of bread,"plastic bag, bread",0,1,0,,
bag of tortillas,"plastic bag, tortilla",0,0,0,,
bean stick,bean,0,1,0,,
black toy car,toy car,0,0,0,,
blue pot,pot,0,1,0,,
blue shirt,shirt,0,0,0,,
branches,NA,0,1,0,"switched to firewood/plant, added to corrections.csv",
bubbles,bubbles,0,0,0,,
coin bag,coin bag,0,1,0,,
drink in a white mug,cup,0,1,0,,
dvd disk,CD,0,1,0,,
egg,egg,0,0,0,,
feather duster,feather duster,0,0,0,,
grapes,grape,0,1,0,,
green plastic basket,plastic basket,0,0,0,,
green stalk,plant,0,1,0,,
green toy car,toy car,0,0,0,,
guavas,guava,0,0,0,,
hammer,hammer,0,0,0,,
hibiscus,flower,0,1,0,,
jar of candy,"jar, candy",0,1,0,,
knit wrap,blanket,1,0,0,,
little bits of rice or tapioca,NA,0,1,0,added to corrections.csv,
lollipop stick,lollipop stick,0,1,0,,
long white object,NA,0,0,0,added to corrections.csv,
medicine dropper bottle,medicine bottle,0,0,0,,
metal door,door,0,1,0,,
metal pole,NA,0,1,0,added to corrections.csv,
metal stool,table,0,1,0,,
mug with beverage,cup,0,1,0,,
neon green mop,mop,0,0,0,,
orange plastic spring,plastic tubing,0,1,0,,
pacifier,pacifier,1,1,0,could be another synthetic object/toy,
packaged rice,rice,1,1,0,check function on one,
palms,plant,0,1,0,,
paper airplane,paper airplane,0,0,0,,
peso,money,0,1,0,,
pink flower,flower,0,0,0,,
plastic chairs,chair,0,0,0,,
plastic comb,comb,0,0,0,,
powerade water,empty drink bottle,0,1,0,,
processed wooden plank,wood slat,0,1,0,,
processed wooden slat,NA,NA,NA,0,,
purple blanket,blanket,0,0,0,,
rake,rake,0,0,0,,
rebar,rebar,0,0,0,,
red folder,folder,0,1,0,,
red rope,rope,0,1,0,,
screw,screw,0,1,0,,
stems,NA,NA,NA,0,,
stuffed dog,stuffed animal,0,0,0,,
styrofoam,styrofoam,0,0,0,,
table leg,table,0,1,0,,
toy trailer,toy car,0,0,0,,
trash can,trash bin,0,NA,0,,
trashcan,trash bin,0,NA,0,,
underwear,underwear,0,0,0,,
white bottle (unlabeled),plastic bottle,0,1,0,,
woven object,NA,0,1,0,added to corrections.csv,
baby sling,baby sling,0,0,0,,
beads,beads,0,1,0,,
blue strainer,strainer,0,0,0,,
bottle of coke,soda,0,1,0,,
bracelet,bracelet,0,0,0,,
cacao fruit,cacao,0,0,0,,
curtains,curtains,0,1,0,fixed one immovable object,
dried bean pod,bean,0,0,0,,
grey bowl,bowl,0,0,0,,
measuring tape,measuring tape,0,0,0,,
metal bin,trash bin,0,1,0,,
palm leaves,NA,0,1,0,added to corrections.csv,
plastic,NA,NA,NA,0,,
plastic lid,container lid,0,0,0,,
plastic soda bottle,empty drink bottle,0,1,0,,
red leaf,leaf,0,1,0,,
red water bottle,reusable water bottle,0,1,0,,
