Image,Object,Comments,Coder,None,Exclude,Original Comments,sub_num
183635.gif,water bottle,NA,KS,0,0,NA,5978
183737.gif,water bottle,NA,KS,0,0,NA,5978
183839.gif,water bottle,NA,KS,0,0,NA,5978
185104.gif,NA,NA,KS,1,0,NA,5978
185817.gif,camera lens,NA,KS,0,0,NA,5978
190524.gif,NA,NA,KS,1,0,NA,5978
235622.gif,NA,NA,KS,1,0,NA,5978
165711.gif,brick,NA,KS,0,0,NA,1129
191336.gif,NA,NA,KS,1,0,NA,1129
192014.gif,bean pod,NA,KS,0,0,NA,1129
192615.gif,NA,NA,KS,1,0,NA,1129
205837.gif,stairs,NA,KS,0,0,NA,1129
234134.gif,NA,NA,KS,1,0,NA,1129
185813.gif,rice,NA,KS,0,0,NA,4197
24024235.gif,experiment vest,NA,KS,0,0,NA,7910
164226.gif,NA,NA,KS,1,0,NA,1312
051826.gif,NA,holding mother's hand,KS,1,0,NA,5437
110658.gif,NA,NA,KS,1,0,NA,5437
123156.gif,NA,NA,KS,1,0,NA,5437
145502.gif,bowl,NA,KS,0,0,NA,7674
150030.gif,NA,NA,KS,1,0,NA,7674
160203.gif,NA,NA,KS,1,0,NA,7674
160641.gif,NA,resting hand on pants,KS,1,0,NA,7674
191502.gif,NA,NA,KS,1,0,NA,7674
204143.gif,shirt,NA,KS,0,0,NA,7674
205255.gif,NA,NA,KS,1,0,NA,7674
221413.gif,NA,NA,KS,1,0,NA,7674
150021.gif,NA,NA,KS,1,0,NA,8532
174910.gif,NA,NA,KS,1,0,NA,7328
190924.gif,NA,resting hand on ground,KS,1,0,NA,7328
191915.gif,NA,NA,KS,1,0,NA,7328
