site,sub_num,age,sex,image,category,object,duration
Rossel,7101,5,M,20160811_122329_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122329_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122329_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122339_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_122339_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_122339_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_122339_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_122351_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122351_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122351_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122351_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122401_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122401_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122401_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122401_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122411_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122411_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122411_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122411_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122422_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122422_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122422_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122422_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122432_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122432_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122432_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122432_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122442_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_122442_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_122442_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_122442_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_122454_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122454_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122454_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122454_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122504_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122504_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122504_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122504_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122514_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122514_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122514_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122514_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122525_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122525_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122525_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122525_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122535_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122535_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122535_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122535_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122545_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_122545_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_122545_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_122545_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_122557_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122557_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122557_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122557_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122607_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122607_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122607_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122607_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122617_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_122617_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_122617_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_122617_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_122629_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122629_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122629_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122629_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122825_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122825_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122825_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122825_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_123021_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123021_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123021_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123021_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123200_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123200_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123200_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123200_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123210_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123210_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123210_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123210_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123220_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_123220_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_123220_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_123220_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_123252_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123252_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123252_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123252_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123357_000.gif,Food,sippy cup,13
Rossel,7101,5,M,20160811_123357_000.gif,Food,milk,13
Rossel,7101,5,M,20160811_123357_000.gif,ToolMealtime,sippy cup,13
Rossel,7101,5,M,20160811_123357_000.gif,ToolMealtime,milk,13
Rossel,7101,5,M,20160811_123410_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123410_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123410_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123410_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123442_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123442_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123442_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123442_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123452_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123452_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123452_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123452_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123502_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123502_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123502_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123502_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123514_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123514_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123514_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123514_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123524_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123524_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123524_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123524_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123534_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_123534_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_123534_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_123534_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_123546_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_123546_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_123546_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_123546_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_123556_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_123556_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_123556_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_123556_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_123607_000.gif,Food,sippy cup,11
